Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
HCAR3	12q24.31	0.90	0.82	0.05	0.14	0.08	5.38e-16	8.22e-12	(A) BLACK OR AFRICAN AMERICAN
NDUFA3	19q13.42	0.05	0.08	0.02	0.04	-0.03	1.73e-13	1.32e-9	(B) WHITE
SCAMP5	15q24.2	0.02	0.04	0.01	0.04	-0.02	8.33e-13	4.25e-9	(B) WHITE
DHRS7	14q23.1	0.07	0.05	0.02	0.01	0.02	1.38e-12	5.29e-9	(A) BLACK OR AFRICAN AMERICAN
DHRS4-AS1	14q11.2	0.45	0.27	0.18	0.12	0.18	2.91e-12	8.89e-9	(A) BLACK OR AFRICAN AMERICAN
CSTF3	11p13	0.03	0.05	0.01	0.03	-0.01	3.73e-11	9.50e-8	(B) WHITE
TOMM34	20q13.12	0.91	0.93	0.03	0.02	-0.03	1.06e-10	2.32e-7	(B) WHITE
TEX10	9q31.1	0.04	0.10	0.05	0.13	-0.06	1.26e-10	2.41e-7	(B) WHITE
ISCA1	9q21.33	0.02	0.02	0.01	0.01	0.01	1.46e-10	2.49e-7	(A) BLACK OR AFRICAN AMERICAN
SNX16	8q21.13	0.03	0.04	0.01	0.02	-0.01	7.22e-10	1.104e-6	(B) WHITE
ARMC6	19p13.11	0.05	0.08	0.02	0.03	-0.02	9.62e-10	1.316e-6	(B) WHITE
MYH15	3q13.13	0.18	0.35	0.19	0.27	-0.17	1.19e-9	1.316e-6	(B) WHITE
ABHD2	15q26.1	0.73	0.55	0.20	0.22	0.18	1.20e-9	1.316e-6	(A) BLACK OR AFRICAN AMERICAN
VPS41	7p14.1	0.62	0.45	0.21	0.19	0.18	1.20e-9	1.316e-6	(A) BLACK OR AFRICAN AMERICAN
DAPK1	9q21.33	0.41	0.62	0.26	0.24	-0.21	2.40e-9	2.452e-6	(B) WHITE
DNAJC15	13q14.11	0.05	0.15	0.11	0.20	-0.10	3.55e-9	3.390e-6	(B) WHITE
RHD	1p36.11	0.80	0.86	0.07	0.05	-0.05	4.91e-9	4.413e-6	(B) WHITE
SPSB3	16p13.3	0.02	0.03	0.01	0.02	-0.01	5.42e-9	4.605e-6	(B) WHITE
RFLNA	12q24.31	0.37	0.55	0.23	0.24	-0.18	6.31e-9	4.981e-6	(B) WHITE
ZNF639	3q26.33	0.09	0.06	0.04	0.04	0.03	6.51e-9	4.981e-6	(A) BLACK OR AFRICAN AMERICAN
DUSP4	8p12	0.77	0.65	0.15	0.20	0.12	7.92e-9	5.767e-6	(A) BLACK OR AFRICAN AMERICAN
EGLN1	1q42.2	0.08	0.15	0.07	0.17	-0.07	1.10e-8	7.672e-6	(B) WHITE
ANKRD11	16q24.3	0.85	0.88	0.04	0.03	-0.03	1.68e-8	1.117e-5	(B) WHITE
ZNF516	18q23	0.72	0.56	0.20	0.19	0.16	1.81e-8	1.153e-5	(A) BLACK OR AFRICAN AMERICAN
PPP1R15B	1q32.1	0.07	0.05	0.03	0.03	0.02	2.87e-8	1.754e-5	(A) BLACK OR AFRICAN AMERICAN
LMF1	16p13.3	0.79	0.68	0.14	0.17	0.11	3.23e-8	1.829e-5	(A) BLACK OR AFRICAN AMERICAN
CERK	22q13.31	0.10	0.17	0.08	0.14	-0.07	3.23e-8	1.829e-5	(B) WHITE
CYB5R1	1q32.1	0.71	0.57	0.19	0.19	0.14	4.95e-8	2.706e-5	(A) BLACK OR AFRICAN AMERICAN
SHROOM1	5q31.1	0.84	0.79	0.06	0.13	0.06	6.94e-8	3.658e-5	(A) BLACK OR AFRICAN AMERICAN
ECE1	1p36.12	0.62	0.54	0.11	0.15	0.08	9.89e-8	5.040e-5	(A) BLACK OR AFRICAN AMERICAN
SNX17	2p23.3	0.90	0.91	0.02	0.02	-0.02	1.30e-7	6.400e-5	(B) WHITE
IFT140	16p13.3	0.68	0.51	0.25	0.25	0.18	1.85e-7	8.828e-5	(A) BLACK OR AFRICAN AMERICAN
GASK1B	4q32.1	0.61	0.44	0.24	0.25	0.17	1.95e-7	9.040e-5	(A) BLACK OR AFRICAN AMERICAN
GNS	12q14.3	0.92	0.88	0.05	0.10	0.04	2.10e-7	9.457e-5	(A) BLACK OR AFRICAN AMERICAN
SERPINE2	2q36.1	0.37	0.48	0.16	0.19	-0.11	2.20e-7	9.613e-5	(B) WHITE
SMG5	1q22	0.10	0.12	0.03	0.04	-0.02	2.35e-7	9.979e-5	(B) WHITE
METTL27	7q11.23	0.04	0.05	0.02	0.03	-0.01	3.24e-7	1.340e-4	(B) WHITE
FHL2	2q12.2	0.81	0.69	0.16	0.20	0.11	3.33e-7	1.341e-4	(A) BLACK OR AFRICAN AMERICAN
RGS22	8q22.2	0.85	0.75	0.14	0.19	0.10	3.47e-7	1.359e-4	(A) BLACK OR AFRICAN AMERICAN
KIFC1	6p21.32	0.43	0.53	0.15	0.17	-0.11	3.63e-7	1.359e-4	(B) WHITE
SPC25	2q24.3	0.06	0.09	0.03	0.06	-0.03	3.70e-7	1.359e-4	(B) WHITE
CSNK1D	17q25.3	0.89	0.90	0.03	0.02	-0.02	3.74e-7	1.359e-4	(B) WHITE
TSPYL5	8q22.1	0.27	0.42	0.21	0.24	-0.15	3.82e-7	1.359e-4	(B) WHITE
CLK4	5q35.3	0.76	0.63	0.19	0.19	0.13	4.00e-7	1.392e-4	(A) BLACK OR AFRICAN AMERICAN
ZC3H7A	16p13.13	0.68	0.54	0.20	0.21	0.14	4.36e-7	1.464e-4	(A) BLACK OR AFRICAN AMERICAN
TTC30B	2q31.2	0.81	0.73	0.11	0.16	0.08	4.41e-7	1.464e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF862	7q36.1	0.85	0.87	0.03	0.03	-0.02	4.58e-7	1.491e-4	(B) WHITE
MYLK2	20q11.21	0.08	0.11	0.04	0.04	-0.03	4.72e-7	1.503e-4	(B) WHITE
UPK3B	7q11.23	0.21	0.31	0.14	0.18	-0.10	5.69e-7	1.774e-4	(B) WHITE
FURIN	15q26.1	0.41	0.54	0.19	0.18	-0.13	5.82e-7	1.780e-4	(B) WHITE
TPM4	19p13.12-p13.11	0.07	0.12	0.07	0.13	-0.05	6.05e-7	1.783e-4	(B) WHITE
ZBTB43	9q33.3	0.79	0.69	0.15	0.17	0.10	6.06e-7	1.783e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF224	19q13.31	0.03	0.02	0.01	0.01	0.00	6.26e-7	1.806e-4	(A) BLACK OR AFRICAN AMERICAN
CRYM-AS1	16p12.2	0.04	0.06	0.01	0.04	-0.01	6.71e-7	1.899e-4	(B) WHITE
DCLRE1C	10p13	0.10	0.07	0.06	0.05	0.04	7.24e-7	1.965e-4	(A) BLACK OR AFRICAN AMERICAN
SLC7A5	16q24.2	0.64	0.73	0.13	0.11	-0.09	7.25e-7	1.965e-4	(B) WHITE
PDCD5	19q13.11	0.18	0.26	0.11	0.14	-0.07	7.33e-7	1.965e-4	(B) WHITE
RPH3AL	17p13.3	0.73	0.58	0.21	0.21	0.14	7.84e-7	2.067e-4	(A) BLACK OR AFRICAN AMERICAN
IGFALS	16p13.3	0.75	0.62	0.19	0.22	0.13	8.44e-7	2.187e-4	(A) BLACK OR AFRICAN AMERICAN
