Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
DHRS4-AS1	14q11.2	0.55	0.34	0.16	0.10	0.21	8.75e-11	1.361e-6	(A) BLACK OR AFRICAN AMERICAN
CLEC18C	16q22.1	0.51	0.57	0.05	0.06	-0.06	1.01e-9	7.862e-6	(B) WHITE
WDR46	6p21.32	0.05	0.07	0.01	0.02	-0.02	1.96e-9	1.016e-5	(B) WHITE
CFL1	11q13.1	0.03	0.06	0.02	0.03	-0.02	4.05e-9	1.575e-5	(B) WHITE
LPL	8p21.3	0.68	0.49	0.17	0.22	0.19	7.53e-9	2.344e-5	(A) BLACK OR AFRICAN AMERICAN
SMC1B	22q13.31	0.75	0.63	0.11	0.14	0.12	1.60e-8	3.728e-5	(A) BLACK OR AFRICAN AMERICAN
TAMM41	3p25.2	0.05	0.10	0.04	0.06	-0.05	2.08e-8	3.728e-5	(B) WHITE
GPNMB	7p15.3	0.81	0.76	0.05	0.08	0.05	2.11e-8	3.728e-5	(A) BLACK OR AFRICAN AMERICAN
ACAD9	3q21.3	0.02	0.02	0.00	0.01	-0.01	2.70e-8	3.728e-5	(B) WHITE
DUS2	16q22.1	0.06	0.13	0.06	0.08	-0.06	2.89e-8	3.728e-5	(B) WHITE
MIDN	19p13.3	0.93	0.84	0.07	0.14	0.08	2.92e-8	3.728e-5	(A) BLACK OR AFRICAN AMERICAN
METTL27	7q11.23	0.03	0.04	0.01	0.02	-0.01	3.04e-8	3.728e-5	(B) WHITE
PLA2G2A	1p36.13	0.84	0.80	0.03	0.10	0.05	3.12e-8	3.728e-5	(A) BLACK OR AFRICAN AMERICAN
B3GNT6	11q13.5	0.64	0.54	0.09	0.16	0.10	3.53e-8	3.927e-5	(A) BLACK OR AFRICAN AMERICAN
RHD	1p36.11	0.82	0.85	0.03	0.04	-0.03	3.81e-8	3.956e-5	(B) WHITE
COA6	1q42.2	0.02	0.02	0.00	0.01	-0.00	6.51e-8	6.326e-5	(B) WHITE
PRSS21	16p13.3	0.87	0.75	0.11	0.14	0.12	9.04e-8	8.267e-5	(A) BLACK OR AFRICAN AMERICAN
ZNF540	19q13.12	0.04	0.05	0.01	0.03	-0.01	9.93e-8	8.577e-5	(B) WHITE
NACA	12q13.3	0.06	0.07	0.01	0.02	-0.01	1.08e-7	8.814e-5	(B) WHITE
CCDC28A	6q24.1	0.02	0.02	0.00	0.01	-0.01	1.39e-7	1.081e-4	(B) WHITE
NDST1	5q33.1	0.92	0.89	0.03	0.06	0.03	1.55e-7	1.146e-4	(A) BLACK OR AFRICAN AMERICAN
DCTPP1	16p11.2	0.04	0.06	0.02	0.03	-0.02	1.63e-7	1.155e-4	(B) WHITE
RNF8	6p21.2	0.05	0.08	0.02	0.04	-0.02	3.09e-7	2.031e-4	(B) WHITE
MRPL44	2q36.1	0.89	0.84	0.05	0.09	0.05	3.13e-7	2.031e-4	(A) BLACK OR AFRICAN AMERICAN
GTF2H2C	5q13.2	0.07	0.10	0.03	0.04	-0.03	3.52e-7	2.152e-4	(B) WHITE
BRD3OS	9q34.2	0.89	0.86	0.03	0.06	0.03	3.60e-7	2.152e-4	(A) BLACK OR AFRICAN AMERICAN
DHX34	19q13.32	0.04	0.06	0.01	0.02	-0.01	4.84e-7	2.786e-4	(B) WHITE
MTFR2	6q23.3	0.03	0.05	0.01	0.02	-0.01	6.41e-7	3.563e-4	(B) WHITE
FECH	18q21.31	0.06	0.08	0.02	0.05	-0.02	6.67e-7	3.577e-4	(B) WHITE
LINC02447	4p16.1	0.06	0.09	0.03	0.05	-0.03	7.35e-7	3.811e-4	(B) WHITE
SLC39A4	8q24.3	0.41	0.20	0.23	0.14	0.20	7.93e-7	3.980e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF133	20p11.23	0.06	0.08	0.02	0.05	-0.02	8.41e-7	4.087e-4	(B) WHITE
DNAJA2	16q11.2	0.94	0.91	0.02	0.08	0.03	1.261e-6	5.945e-4	(A) BLACK OR AFRICAN AMERICAN
IFT74	9p21.2	0.03	0.05	0.01	0.08	-0.02	1.310e-6	5.992e-4	(B) WHITE
HRH1	3p25.3	0.84	0.78	0.06	0.13	0.06	1.577e-6	6.954e-4	(A) BLACK OR AFRICAN AMERICAN
GLRX5	14q32.13	0.04	0.05	0.01	0.02	-0.01	1.643e-6	6.954e-4	(B) WHITE
ENTPD6	20p11.21	0.07	0.09	0.02	0.03	-0.02	1.654e-6	6.954e-4	(B) WHITE
TTC1	5q33.3	0.04	0.06	0.02	0.03	-0.02	1.712e-6	7.008e-4	(B) WHITE
CENPP	9q22.31	0.06	0.07	0.02	0.02	-0.02	1.783e-6	7.111e-4	(B) WHITE
BLOC1S2	10q24.31	0.09	0.11	0.02	0.03	-0.02	1.909e-6	7.423e-4	(B) WHITE
IMP3	15q24.2	0.04	0.05	0.01	0.02	-0.01	2.122e-6	8.049e-4	(B) WHITE
TIGD1	2q37.1	0.04	0.05	0.01	0.02	-0.01	2.176e-6	8.060e-4	(B) WHITE
UQCRH	1p33	0.05	0.07	0.03	0.04	-0.02	2.230e-6	8.065e-4	(B) WHITE
IFI35	17q21.31	0.06	0.07	0.01	0.02	-0.01	2.424e-6	8.503e-4	(B) WHITE
OSTF1	9q21.13	0.03	0.03	0.00	0.01	-0.00	2.460e-6	8.503e-4	(B) WHITE
PSMC1	14q32.11	0.07	0.08	0.02	0.02	-0.02	2.656e-6	8.860e-4	(B) WHITE
CD63	12q13.2	0.09	0.10	0.02	0.02	-0.01	2.759e-6	8.860e-4	(B) WHITE
AQP6	12q13.12	0.87	0.91	0.04	0.03	-0.03	2.767e-6	8.860e-4	(B) WHITE
TSSC4	11p15.5	0.06	0.08	0.02	0.03	-0.02	2.791e-6	8.860e-4	(B) WHITE
SPATC1L	21q22.3	0.47	0.27	0.24	0.20	0.20	2.952e-6	9.184e-4	(A) BLACK OR AFRICAN AMERICAN
NAGK	2p13.3	0.07	0.09	0.02	0.03	-0.02	3.179e-6	9.697e-4	(B) WHITE
ORMDL3	17q21.1	0.10	0.15	0.06	0.06	-0.05	3.547e-6	1.061e-3	(B) WHITE
OCIAD1	4p11	0.04	0.06	0.01	0.02	-0.01	4.060e-6	1.177e-3	(B) WHITE
HABP2	10q25.3	0.86	0.80	0.07	0.14	0.06	4.087e-6	1.177e-3	(A) BLACK OR AFRICAN AMERICAN
RCBTB2	13q14.2	0.65	0.52	0.15	0.12	0.13	4.246e-6	1.201e-3	(A) BLACK OR AFRICAN AMERICAN
UBAP2	9p13.3	0.22	0.19	0.03	0.03	0.02	4.515e-6	1.254e-3	(A) BLACK OR AFRICAN AMERICAN
AATF	17q12	0.08	0.11	0.03	0.04	-0.02	4.758e-6	1.298e-3	(B) WHITE
RECQL4	8q24.3	0.95	0.90	0.04	0.11	0.04	4.966e-6	1.332e-3	(A) BLACK OR AFRICAN AMERICAN
PTENP1	9p13.3	0.03	0.04	0.01	0.02	-0.01	5.541e-6	1.458e-3	(B) WHITE
NDUFAF5	20p12.1	0.07	0.08	0.02	0.02	-0.01	5.626e-6	1.458e-3	(B) WHITE
CCNL1	3q25.31	0.11	0.19	0.09	0.08	-0.07	6.038e-6	1.540e-3	(B) WHITE
ANGPT2	8p23.1	0.49	0.39	0.13	0.10	0.10	7.338e-6	1.841e-3	(A) BLACK OR AFRICAN AMERICAN
ZFP62	5q35.3	0.05	0.06	0.01	0.02	-0.01	7.614e-6	1.880e-3	(B) WHITE
ZNF226	19q13.31	0.04	0.06	0.01	0.02	-0.01	7.785e-6	1.892e-3	(B) WHITE
MYCBPAP	17q21.33	0.64	0.57	0.08	0.10	0.07	8.137e-6	1.947e-3	(A) BLACK OR AFRICAN AMERICAN
CHCHD2	7p11.2	0.01	0.02	0.00	0.01	-0.00	8.395e-6	1.950e-3	(B) WHITE
CHCHD5	2q14.1	0.08	0.10	0.02	0.03	-0.02	8.407e-6	1.950e-3	(B) WHITE
ATE1	10q26.13	0.91	0.88	0.04	0.05	0.03	8.534e-6	1.950e-3	(A) BLACK OR AFRICAN AMERICAN
SLC35C1	11p11.2	0.64	0.55	0.11	0.12	0.09	8.651e-6	1.950e-3	(A) BLACK OR AFRICAN AMERICAN
TRA2B	3q27.2	0.84	0.78	0.08	0.13	0.07	9.006e-6	2.001e-3	(A) BLACK OR AFRICAN AMERICAN
PTCD3	2p11.2	0.85	0.77	0.09	0.15	0.08	9.159e-6	2.007e-3	(A) BLACK OR AFRICAN AMERICAN
ERAL1	17q11.2	0.02	0.03	0.01	0.02	-0.01	9.548e-6	2.042e-3	(B) WHITE
ACYP1	14q24.3	0.07	0.08	0.01	0.02	-0.01	9.582e-6	2.042e-3	(B) WHITE
GPATCH3	1p36.11	0.05	0.06	0.01	0.02	-0.01	9.743e-6	2.048e-3	(B) WHITE
CHTOP	1q21.3	0.03	0.03	0.00	0.01	-0.00	1.052e-5	2.143e-3	(B) WHITE
EIF6	20q11.22	0.07	0.08	0.02	0.02	-0.01	1.057e-5	2.143e-3	(B) WHITE
CASP3	4q35.1	0.91	0.88	0.03	0.05	0.03	1.061e-5	2.143e-3	(A) BLACK OR AFRICAN AMERICAN
SRRT	7q22.1	0.05	0.08	0.04	0.04	-0.03	1.124e-5	2.241e-3	(B) WHITE
ANGEL2	1q32.3	0.07	0.05	0.02	0.02	0.02	1.144e-5	2.253e-3	(A) BLACK OR AFRICAN AMERICAN
SYCE2	19p13.13	0.02	0.03	0.01	0.01	-0.01	1.164e-5	2.264e-3	(B) WHITE
ITPA	20p13	0.10	0.13	0.04	0.04	-0.03	1.184e-5	2.273e-3	(B) WHITE
MRPL1	4q21.1	0.03	0.04	0.01	0.01	-0.01	1.281e-5	2.430e-3	(B) WHITE
CENPF	1q41	0.59	0.64	0.07	0.07	-0.05	1.324e-5	2.481e-3	(B) WHITE
BRMS1	11q13.2	0.04	0.05	0.01	0.01	-0.01	1.340e-5	2.482e-3	(B) WHITE
NFYC	1p34.2	0.91	0.89	0.02	0.06	0.02	1.391e-5	2.545e-3	(A) BLACK OR AFRICAN AMERICAN
LRRC31	3q26.2	0.81	0.70	0.13	0.18	0.11	1.424e-5	2.548e-3	(A) BLACK OR AFRICAN AMERICAN
MRPS18C	4q21.23	0.03	0.04	0.02	0.03	-0.01	1.433e-5	2.548e-3	(B) WHITE
