Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
ULK4	3p22.1	6.36	5.40	0.62	0.80	0.96	9.21e-18	1.61e-13	(A) Black or African American
GBP7	1p22.2	0.17	0.70	0.33	0.80	-0.53	1.22e-14	1.07e-10	(B) White
POLR2J3	7q22.1	9.94	9.10	0.65	0.91	0.84	7.39e-14	4.25e-10	(A) Black or African American
CRYBB2	22q11.23	2.28	1.14	0.92	0.88	1.14	9.74e-14	4.25e-10	(A) Black or African American
CROCCP2	1p36.13	9.17	8.25	0.76	0.76	0.93	2.54e-13	8.87e-10	(A) Black or African American
LOC441455	9q22.33	2.88	1.81	0.87	1.08	1.07	3.05e-13	8.87e-10	(A) Black or African American
RPS26	12q13.2	10.42	9.69	0.60	0.66	0.73	5.13e-13	1.28e-9	(A) Black or African American
DHRS4-AS1	14q11.2	8.10	8.99	0.79	0.58	-0.89	3.10e-12	6.77e-9	(B) White
NOTCH2NLA	1q21.1	8.30	7.59	0.67	0.61	0.70	4.92e-11	9.54e-8	(A) Black or African American
AHI1	6q23.3	8.58	8.20	0.37	0.47	0.38	2.77e-10	4.83e-7	(A) Black or African American
TAS2R14	12p13.2	2.98	2.29	0.69	0.81	0.70	5.60e-10	8.89e-7	(A) Black or African American
SPDYE5	7q11.23	3.44	2.66	0.82	0.80	0.79	1.40e-9	2.040e-6	(A) Black or African American
PPIL3	2q33.1	7.79	8.31	0.55	0.54	-0.52	1.85e-9	2.414e-6	(B) White
BCO2	11q23.1	4.18	3.19	1.05	1.03	0.99	1.94e-9	2.414e-6	(A) Black or African American
ASB12	Xq11.2	1.33	2.43	1.16	1.21	-1.09	2.33e-9	2.712e-6	(B) White
IDI2-AS1	10p15.3	4.07	3.36	0.76	0.81	0.71	3.07e-9	3.350e-6	(A) Black or African American
CEP295	11q21	8.71	8.29	0.46	0.55	0.43	5.78e-9	5.939e-6	(A) Black or African American
SPDYE6	7q22.1	5.15	4.33	0.91	0.86	0.82	6.43e-9	6.237e-6	(A) Black or African American
NEAT1	11q13.1	13.19	12.23	1.06	1.02	0.96	6.94e-9	6.378e-6	(A) Black or African American
PYROXD2	10q24.2	6.57	5.45	1.24	1.35	1.12	8.70e-9	7.590e-6	(A) Black or African American
ORMDL1	2q32.2	9.52	9.20	0.35	0.42	0.32	1.18e-8	9.519e-6	(A) Black or African American
SNORA8	11q21	9.09	8.50	0.66	0.64	0.59	1.20e-8	9.519e-6	(A) Black or African American
EME2	16p13.3	4.97	4.06	1.02	1.04	0.91	1.29e-8	9.519e-6	(A) Black or African American
ANKRD36	2q11.2	7.37	6.70	0.75	0.79	0.67	1.32e-8	9.519e-6	(A) Black or African American
SPDYE1	7p13	3.73	3.02	0.81	0.72	0.70	1.36e-8	9.519e-6	(A) Black or African American
DPRXP4	17q11.2	1.57	0.98	0.67	0.63	0.59	1.53e-8	1.028e-5	(A) Black or African American
CDK11B	1p36.33	10.27	9.96	0.33	0.48	0.31	1.96e-8	1.255e-5	(A) Black or African American
CUTALP	9q33.2	8.98	8.43	0.63	0.66	0.55	2.01e-8	1.255e-5	(A) Black or African American
PI4KAP2	22q11.21	7.44	6.73	0.79	1.07	0.72	2.22e-8	1.337e-5	(A) Black or African American
GS1-124K5.11	7q11.21	8.88	8.62	0.30	0.36	0.27	2.56e-8	1.492e-5	(A) Black or African American
CCDC150	2q33.1	5.90	5.06	0.98	1.07	0.84	4.02e-8	2.263e-5	(A) Black or African American
NADSYN1	11q13.4	10.78	10.41	0.43	0.50	0.37	6.43e-8	3.434e-5	(A) Black or African American
INE1	Xp11.3	4.77	3.98	0.96	0.86	0.79	6.49e-8	3.434e-5	(A) Black or African American
PASK	2q37.3	8.74	8.28	0.56	0.56	0.46	6.86e-8	3.520e-5	(A) Black or African American
PXDNL	8q11.22-q11.23	1.42	2.15	0.83	1.20	-0.74	7.76e-8	3.870e-5	(B) White
STAG3L3	7q11.23	7.95	7.44	0.63	0.63	0.52	9.12e-8	4.269e-5	(A) Black or African American
LOC642846	12p13.31	7.99	7.35	0.79	0.78	0.65	9.25e-8	4.269e-5	(A) Black or African American
TTLL3	3p25.3	9.45	8.60	1.04	0.96	0.85	9.29e-8	4.269e-5	(A) Black or African American
DNHD1	11p15.4	7.44	6.65	0.97	0.92	0.78	1.18e-7	5.278e-5	(A) Black or African American
LOC100190986	16p12.2	7.30	6.48	1.01	0.98	0.82	1.21e-7	5.278e-5	(A) Black or African American
SNHG5	6q14.3	10.24	11.13	1.10	1.14	-0.89	1.54e-7	6.510e-5	(B) White
C1QL3	10p13	4.20	3.27	1.10	1.45	0.93	1.57e-7	6.510e-5	(A) Black or African American
ATG16L2	11q13.4	8.40	7.74	0.82	0.87	0.66	1.77e-7	7.199e-5	(A) Black or African American
NTN5	19q13.33	2.38	1.57	1.02	1.01	0.81	2.21e-7	8.759e-5	(A) Black or African American
RPL23AP64	11q23.3	2.60	1.86	0.95	0.80	0.74	2.50e-7	9.691e-5	(A) Black or African American
AK1	9q34.11	9.07	9.69	0.77	0.92	-0.62	2.82e-7	1.069e-4	(B) White
GOLGA2P5	12q23.1	7.72	6.98	0.97	0.81	0.74	3.46e-7	1.284e-4	(A) Black or African American
TSSK3	1p35.1	4.56	3.85	0.90	0.92	0.70	3.53e-7	1.284e-4	(A) Black or African American
GEN1	2p24.2	9.03	8.65	0.48	0.51	0.38	3.73e-7	1.329e-4	(A) Black or African American
POLR2J4	7p13	8.05	7.64	0.52	0.53	0.41	3.94e-7	1.376e-4	(A) Black or African American
REV1	2q11.2	9.35	9.10	0.32	0.35	0.25	4.03e-7	1.379e-4	(A) Black or African American
OSBPL7	17q21.32	9.40	8.82	0.75	0.83	0.59	4.29e-7	1.440e-4	(A) Black or African American
PILRB	7q22.1	10.44	9.70	0.97	0.95	0.74	4.56e-7	1.502e-4	(A) Black or African American
SPDYE2	7q22.1	1.30	0.66	0.85	0.70	0.64	4.76e-7	1.540e-4	(A) Black or African American
ABCA5	17q24.3	8.52	7.82	0.91	0.99	0.70	5.01e-7	1.591e-4	(A) Black or African American
KIAA0895L	16q22.1	8.66	8.17	0.65	0.67	0.50	5.32e-7	1.657e-4	(A) Black or African American
STK36	2q35	9.03	8.54	0.65	0.57	0.49	5.42e-7	1.659e-4	(A) Black or African American
ATAT1	6p21.33	8.35	7.89	0.60	0.58	0.46	5.58e-7	1.659e-4	(A) Black or African American
BTAF1	10q23.32	9.67	9.31	0.44	0.57	0.35	5.61e-7	1.659e-4	(A) Black or African American
LENG8	19q13.42	12.03	11.33	0.92	0.84	0.70	5.79e-7	1.684e-4	(A) Black or African American
DTX2P1-UPK3BP1-PMS2P11	7q11.23	6.48	5.99	0.63	0.71	0.49	5.88e-7	1.684e-4	(A) Black or African American
SEC31B	10q24.31	6.95	5.99	1.27	1.24	0.96	6.47e-7	1.809e-4	(A) Black or African American
AGAP6	10q11.23	7.26	6.64	0.81	0.84	0.62	6.53e-7	1.809e-4	(A) Black or African American
CCDC14	3q21.1	10.26	9.74	0.68	0.72	0.52	6.90e-7	1.881e-4	(A) Black or African American
NSUN5P1	7q11.23	8.07	7.29	1.03	1.08	0.78	7.07e-7	1.899e-4	(A) Black or African American
EFCAB2	1q44	6.20	5.68	0.67	0.89	0.53	7.54e-7	1.994e-4	(A) Black or African American
SERPINC1	1q25.1	1.40	0.73	0.92	0.78	0.68	7.87e-7	2.050e-4	(A) Black or African American
MTMR9LP	1p35.2	6.51	5.78	0.96	1.05	0.73	9.09e-7	2.259e-4	(A) Black or African American
AGER	6p21.32	5.53	4.74	1.06	1.06	0.79	9.14e-7	2.259e-4	(A) Black or African American
MSANTD2	11q24.2	7.71	7.31	0.53	0.56	0.40	9.16e-7	2.259e-4	(A) Black or African American
CLHC1	2p16.1	5.95	5.39	0.73	0.86	0.56	9.19e-7	2.259e-4	(A) Black or African American
MZF1	19q13.43	8.54	8.03	0.68	0.68	0.51	9.39e-7	2.277e-4	(A) Black or African American
DMTF1	7q21.12	9.49	9.12	0.49	0.55	0.37	9.55e-7	2.284e-4	(A) Black or African American
GUSBP11	22q11.23	8.20	7.52	0.92	0.87	0.68	1.083e-6	2.555e-4	(A) Black or African American
CREBZF	11q14.1	10.67	10.32	0.47	0.43	0.34	1.167e-6	2.717e-4	(A) Black or African American
MALAT1	11q13.1	10.79	10.07	0.99	0.91	0.72	1.253e-6	2.846e-4	(A) Black or African American
NBPF3	1p36.12	6.92	6.30	0.80	1.04	0.62	1.255e-6	2.846e-4	(A) Black or African American
SCART1	10q26.3	4.16	3.38	1.03	1.21	0.78	1.293e-6	2.894e-4	(A) Black or African American
STK11IP	2q35	9.23	8.95	0.38	0.37	0.28	1.326e-6	2.920e-4	(A) Black or African American
ANKRD65	1p36.33	3.60	4.68	1.50	1.25	-1.08	1.344e-6	2.920e-4	(B) White
GABRR2	6q15	1.85	1.16	0.97	0.80	0.69	1.355e-6	2.920e-4	(A) Black or African American
ZC3HAV1L	7q34	6.28	5.77	0.65	0.90	0.51	1.420e-6	3.024e-4	(A) Black or African American
POLR2J2	7q22.1	8.02	7.11	1.16	1.67	0.91	1.470e-6	3.070e-4	(A) Black or African American
APOBEC3H	22q13.1	1.58	2.31	0.97	1.18	-0.73	1.477e-6	3.070e-4	(B) White
PHYKPL	5q35.3	9.05	8.67	0.52	0.54	0.38	1.521e-6	3.124e-4	(A) Black or African American
FNBP4	11p11.2	10.35	10.02	0.47	0.44	0.34	1.614e-6	3.225e-4	(A) Black or African American
SNHG3	1p35.3	7.19	6.60	0.81	0.80	0.59	1.626e-6	3.225e-4	(A) Black or African American
ZNF121	19p13.2	6.50	5.92	0.81	0.74	0.58	1.626e-6	3.225e-4	(A) Black or African American
SDHAP2	3q29	7.94	7.41	0.73	0.71	0.53	1.710e-6	3.337e-4	(A) Black or African American
NKTR	3p22.1	10.49	9.99	0.69	0.65	0.50	1.730e-6	3.337e-4	(A) Black or African American
TRPV3	17p13.2	2.99	2.05	1.27	1.44	0.94	1.740e-6	3.337e-4	(A) Black or African American
TSSK4	14q12	3.73	3.15	0.81	0.82	0.58	2.080e-6	3.933e-4	(A) Black or African American
EXOC3L4	14q32.32	6.21	5.46	1.03	1.14	0.75	2.112e-6	3.933e-4	(A) Black or African American
LOC400710	19q13.33	1.69	0.50	1.76	0.62	1.19	2.118e-6	3.933e-4	(A) Black or African American
ZNF587	19q13.43	10.07	9.61	0.64	0.62	0.46	2.246e-6	4.127e-4	(A) Black or African American
SPDYE7P	7q11.23	3.16	2.58	0.82	0.74	0.58	2.282e-6	4.127e-4	(A) Black or African American
FMO2	1q24.3	2.04	3.28	1.68	2.03	-1.24	2.293e-6	4.127e-4	(B) White
DNAJC27	2p23.3	6.69	6.40	0.41	0.43	0.30	2.479e-6	4.417e-4	(A) Black or African American
ARHGAP27P1	17q24.1	9.25	8.67	0.84	0.62	0.58	2.750e-6	4.849e-4	(A) Black or African American
CSAD	12q13.13	7.80	7.09	1.01	0.95	0.71	2.940e-6	5.132e-4	(A) Black or African American
TMED10P1	8q24.3	5.32	5.61	0.40	0.48	-0.29	2.986e-6	5.161e-4	(B) White
TUBGCP6	22q13.33	9.81	9.38	0.62	0.63	0.44	3.090e-6	5.245e-4	(A) Black or African American
SNORA53	12q23.1	1.34	0.90	0.62	0.67	0.44	3.095e-6	5.245e-4	(A) Black or African American
CCDC57	17q25.3	8.84	8.38	0.67	0.58	0.46	3.149e-6	5.286e-4	(A) Black or African American
GRIK3	1p34.3	4.09	3.10	1.39	1.46	0.98	3.326e-6	5.530e-4	(A) Black or African American
PVRIG	7q22.1	5.94	5.34	0.84	0.88	0.60	3.360e-6	5.533e-4	(A) Black or African American
FUT5	19p13.3	1.93	0.88	1.54	1.15	1.05	3.397e-6	5.543e-4	(A) Black or African American
TTN	2q31.2	6.37	5.57	1.14	1.17	0.80	3.529e-6	5.704e-4	(A) Black or African American
OTUD3	1p36.13	8.52	8.11	0.58	0.65	0.41	3.593e-6	5.755e-4	(A) Black or African American
EBLN2	3p13	4.29	3.64	0.93	0.86	0.64	3.679e-6	5.817e-4	(A) Black or African American
RBM33	7q36.3	10.44	10.14	0.44	0.39	0.30	3.699e-6	5.817e-4	(A) Black or African American
LRRN1	3p26.2	3.09	4.53	2.04	2.22	-1.44	3.958e-6	6.142e-4	(B) White
RUFY3	4q13.3	8.92	8.65	0.38	0.40	0.27	3.976e-6	6.142e-4	(A) Black or African American
CES4A	16q22.1	5.80	4.93	1.24	1.34	0.87	4.073e-6	6.220e-4	(A) Black or African American
SLC6A12	12p13.33	3.05	4.00	1.35	1.43	-0.95	4.097e-6	6.220e-4	(B) White
HSF4	16q22.1	7.39	6.50	1.29	1.27	0.89	4.936e-6	7.288e-4	(A) Black or African American
NBPF1	1p36.13	8.90	8.48	0.61	0.65	0.42	4.946e-6	7.288e-4	(A) Black or African American
CHKB-CPT1B	22q13.33	8.39	7.75	0.92	1.02	0.64	4.971e-6	7.288e-4	(A) Black or African American
RBM6	3p21.31	10.53	10.13	0.59	0.57	0.40	4.990e-6	7.288e-4	(A) Black or African American
CROCCP3	1p36.13	5.28	4.73	0.79	0.79	0.54	5.010e-6	7.288e-4	(A) Black or African American
LOC150776	2q21.1	8.79	8.30	0.74	0.62	0.50	5.186e-6	7.449e-4	(A) Black or African American
AMMECR1L	2q14.3	9.79	9.59	0.29	0.32	0.20	5.206e-6	7.449e-4	(A) Black or African American
AHSA2P	2p15	9.07	8.33	1.10	0.96	0.74	5.420e-6	7.693e-4	(A) Black or African American
CFAP44	3q13.2	7.58	6.96	0.90	0.92	0.62	5.732e-6	7.998e-4	(A) Black or African American
TMEM51-AS1	1p36.21	7.20	6.66	0.77	0.90	0.54	5.746e-6	7.998e-4	(A) Black or African American
CCNL1	3q25.31	10.31	9.96	0.52	0.51	0.35	5.772e-6	7.998e-4	(A) Black or African American
MIGA2	9q34.11	9.42	9.07	0.51	0.54	0.35	5.965e-6	8.199e-4	(A) Black or African American
PAXBP1	21q22.11	9.54	9.25	0.41	0.49	0.29	6.767e-6	9.229e-4	(A) Black or African American
LRGUK	7q33	2.14	1.40	1.11	0.99	0.74	6.861e-6	9.285e-4	(A) Black or African American
NSUN5P2	7q11.23	9.38	8.71	1.00	1.05	0.68	6.955e-6	9.339e-4	(A) Black or African American
ALOX15B	17p13.1	3.03	4.17	1.63	1.93	-1.13	7.054e-6	9.401e-4	(B) White
LIMD1	3p21.31	10.11	9.90	0.30	0.40	0.21	7.391e-6	9.774e-4	(A) Black or African American
HSD17B7P2	10p11.1	6.00	5.54	0.67	0.81	0.46	7.485e-6	9.824e-4	(A) Black or African American
LOC155060	7q36.1	7.79	7.18	0.93	0.84	0.61	7.737e-6	1.008e-3	(A) Black or African American
IL27	16p12.1-p11.2	0.64	1.11	0.65	0.93	-0.47	7.854e-6	1.011e-3	(B) White
CCDC66	3p14.3	7.78	7.47	0.45	0.57	0.31	7.887e-6	1.011e-3	(A) Black or African American
RPP38-DT	10p13	2.88	2.41	0.69	0.73	0.47	7.933e-6	1.011e-3	(A) Black or African American
LINC01000	7q32.1	10.01	9.47	0.81	0.76	0.54	8.117e-6	1.027e-3	(A) Black or African American
