Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
NOTCH2NLA	1q21.1	9.58	8.53	1.04	0.87	1.05	3.39e-16	5.91e-12	(A) Black or African American
ULK4	3p22.1	7.36	6.60	0.74	0.84	0.76	1.35e-15	1.18e-11	(A) Black or African American
CUTALP	9q33.2	8.87	8.25	0.57	0.92	0.63	7.16e-15	3.93e-11	(A) Black or African American
ATP1A1-AS1	1p13.1	6.26	5.59	0.70	0.63	0.67	9.00e-15	3.93e-11	(A) Black or African American
LRRC37A2	17q21.31	6.19	7.15	1.07	0.79	-0.96	6.59e-14	2.30e-10	(B) White
LOC441455	9q22.33	2.82	1.80	1.07	1.33	1.02	1.28e-13	3.73e-10	(A) Black or African American
LOC90784	2p11.2	7.88	8.76	1.05	0.62	-0.88	6.69e-13	1.67e-9	(B) White
RPS10P7	1q32.1	5.78	5.27	0.60	0.55	0.51	3.63e-12	7.92e-9	(A) Black or African American
POM121L8P	22q11.21	1.15	2.01	1.02	1.14	-0.86	1.31e-11	2.54e-8	(B) White
SORD	15q21.1	9.49	10.30	0.98	1.00	-0.80	2.06e-11	3.59e-8	(B) White
LOC644936	5q14.1	5.32	6.36	1.32	1.18	-1.04	3.16e-11	5.02e-8	(B) White
RABGGTB	1p31.1	9.91	9.50	0.49	0.58	0.40	5.50e-11	8.00e-8	(A) Black or African American
ZNF90	19p12	8.08	7.08	1.32	1.07	1.00	1.17e-10	1.57e-7	(A) Black or African American
ZNF213	16p13.3	9.26	9.74	0.59	0.72	-0.47	2.21e-10	2.75e-7	(B) White
CROCCP2	1p36.13	9.20	8.69	0.67	0.68	0.51	2.59e-10	3.01e-7	(A) Black or African American
LRRC37A	17q21.31	7.94	8.44	0.67	0.71	-0.51	3.74e-10	4.08e-7	(B) White
TSPAN10	17q25.3	6.35	5.34	1.33	1.46	1.01	5.99e-10	6.15e-7	(A) Black or African American
CRYBB2	22q11.23	3.50	2.43	1.47	1.36	1.07	8.60e-10	8.34e-7	(A) Black or African American
ACTB	7p22.1	16.38	16.71	0.44	0.53	-0.34	9.69e-10	8.90e-7	(B) White
PPIL3	2q33.1	7.56	8.01	0.64	0.54	-0.46	1.08e-9	9.46e-7	(B) White
DISP2	15q15.1	3.76	4.70	1.25	1.49	-0.94	1.27e-9	1.059e-6	(B) White
DPP9	19p13.3	10.07	10.38	0.43	0.47	-0.32	1.38e-9	1.098e-6	(B) White
TMEM214	2p23.3	11.29	11.61	0.46	0.44	-0.33	1.90e-9	1.393e-6	(B) White
PIP5K1C	19p13.3	10.26	10.63	0.52	0.48	-0.37	1.92e-9	1.393e-6	(B) White
NLGN4Y	Yq11.221	2.15	3.63	2.00	2.40	-1.48	2.97e-9	2.035e-6	(B) White
ADGRE1	19p13.3-p13.2	3.51	2.35	1.67	1.46	1.16	3.18e-9	2.035e-6	(A) Black or African American
LOC100132287	1p36.33	8.92	9.69	1.09	1.02	-0.77	3.19e-9	2.035e-6	(B) White
POLG2	17q23.3	7.22	6.83	0.56	0.56	0.40	3.31e-9	2.035e-6	(A) Black or African American
PPME1	11q13.4	10.44	10.76	0.46	0.43	-0.32	3.49e-9	2.035e-6	(B) White
SMIM20	4p15.2	9.26	8.94	0.42	0.58	0.32	3.50e-9	2.035e-6	(A) Black or African American
CEACAM5	19q13.2	5.07	7.38	3.23	3.59	-2.31	4.55e-9	2.564e-6	(B) White
CELP	9q34.13	2.15	3.80	2.36	2.40	-1.65	5.01e-9	2.735e-6	(B) White
MRPL33	2p23.2	9.36	8.86	0.70	0.80	0.50	6.09e-9	3.222e-6	(A) Black or African American
