Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
CRYBB2	22q11.23	2.53	1.20	1.19	0.90	1.33	2.86e-17	5.77e-13	(A) BLACK OR AFRICAN AMERICAN
PIF1	15q22.31	6.11	4.65	1.40	1.36	1.46	1.35e-15	1.36e-11	(A) BLACK OR AFRICAN AMERICAN
ATP1A4	1q23.2	1.92	3.77	1.78	2.21	-1.85	3.55e-15	2.39e-11	(B) WHITE
AURKB	17p13.1	8.35	7.02	1.33	1.45	1.33	1.46e-14	7.36e-11	(A) BLACK OR AFRICAN AMERICAN
FAM114A2	5q33.2	8.42	8.93	0.53	0.56	-0.52	3.34e-14	1.34e-10	(B) WHITE
FAM3A	Xq28	9.93	9.15	0.82	0.63	0.79	4.68e-14	1.57e-10	(A) BLACK OR AFRICAN AMERICAN
G6PC2	2q31.1	0.18	0.63	0.42	0.86	-0.45	1.06e-13	2.67e-10	(B) WHITE
CROCCP2	1p36.13	8.56	7.75	0.86	0.82	0.81	1.47e-13	3.28e-10	(A) BLACK OR AFRICAN AMERICAN
FYCO1	3p21.31	9.79	10.44	0.70	0.69	-0.65	3.15e-13	6.34e-10	(B) WHITE
TSPO	22q13.2	11.29	10.33	1.05	0.87	0.96	3.47e-13	6.35e-10	(A) BLACK OR AFRICAN AMERICAN
POLR2J3	7q22.1	10.11	9.19	1.00	0.83	0.91	4.62e-13	7.64e-10	(A) BLACK OR AFRICAN AMERICAN
LRRC37A2	17q21.31	6.05	7.08	1.15	0.85	-1.04	4.93e-13	7.64e-10	(B) WHITE
ZNF816	19q13.41	7.25	7.82	0.63	0.52	-0.57	5.72e-13	8.12e-10	(B) WHITE
SNHG17	20q11.23	9.04	8.24	0.88	0.80	0.80	6.48e-13	8.12e-10	(A) BLACK OR AFRICAN AMERICAN
MPST	22q12.3	9.86	9.03	0.91	0.80	0.82	6.95e-13	8.12e-10	(A) BLACK OR AFRICAN AMERICAN
DDX51	12q24.33	9.25	8.71	0.60	0.55	0.54	7.12e-13	8.12e-10	(A) BLACK OR AFRICAN AMERICAN
SLC35E2A	1p36.33	4.93	5.90	1.08	0.98	-0.98	7.26e-13	8.12e-10	(B) WHITE
HTR7P1	12p13.1	6.39	7.29	0.97	1.28	-0.90	9.59e-13	1.01e-9	(B) WHITE
PI4KAP2	22q11.21	6.90	6.06	0.91	1.16	0.84	1.01e-12	1.01e-9	(A) BLACK OR AFRICAN AMERICAN
DDX39A	19p13.12	10.61	9.90	0.79	0.76	0.71	1.29e-12	1.23e-9	(A) BLACK OR AFRICAN AMERICAN
DYNC2H1	11q22.3	7.45	8.62	1.32	1.19	-1.18	1.52e-12	1.33e-9	(B) WHITE
ZNF106	15q15.1	10.17	10.73	0.63	0.63	-0.56	1.57e-12	1.33e-9	(B) WHITE
CFAP57	1p34.2	2.02	3.45	1.59	1.76	-1.43	1.58e-12	1.33e-9	(B) WHITE
CMC2	16q23.2	8.75	8.10	0.74	0.70	0.65	1.72e-12	1.38e-9	(A) BLACK OR AFRICAN AMERICAN
PKMYT1	16p13.3	8.99	7.93	1.19	1.32	1.06	2.52e-12	1.95e-9	(A) BLACK OR AFRICAN AMERICAN
TOP1MT	8q24.3	9.92	9.00	1.06	0.82	0.92	2.72e-12	1.95e-9	(A) BLACK OR AFRICAN AMERICAN
AFF4	5q31.1	11.03	11.71	0.78	0.69	-0.69	2.77e-12	1.95e-9	(B) WHITE
MEIS3P1	17p12	7.91	8.77	0.99	0.82	-0.86	2.81e-12	1.95e-9	(B) WHITE
LRRC37A	17q21.31	7.88	8.55	0.76	0.68	-0.66	3.02e-12	2.02e-9	(B) WHITE
CDCA3	12p13.31	8.39	7.36	1.17	1.25	1.03	3.19e-12	2.07e-9	(A) BLACK OR AFRICAN AMERICAN
