Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CRYBB2	22q11.23	2.60	1.26	1.16	0.96	1.34	9.91e-34	2.00e-29	(A) Black or African American
CROCCP2	1p36.13	8.75	7.80	0.82	0.82	0.96	2.15e-33	2.16e-29	(A) Black or African American
FAM3A	Xq28	10.02	9.19	0.74	0.65	0.82	2.22e-31	1.49e-27	(A) Black or African American
PIF1	15q22.31	6.17	4.75	1.36	1.36	1.42	2.37e-28	1.20e-24	(A) Black or African American
POLR2J3	7q22.1	10.16	9.24	0.90	0.87	0.93	6.55e-28	2.64e-24	(A) Black or African American
TRMT2A	22q11.21	9.64	8.96	0.66	0.69	0.68	8.40e-28	2.83e-24	(A) Black or African American
NSUN5P1	7q11.23	7.44	6.29	1.13	1.08	1.15	1.88e-27	5.40e-24	(A) Black or African American
DNPH1	6p21.1	9.39	8.33	1.07	0.99	1.07	5.74e-27	1.45e-23	(A) Black or African American
HGS	17q25.3	11.24	10.71	0.53	0.53	0.53	1.22e-26	2.74e-23	(A) Black or African American
MFAP3	5q33.2	9.47	10.13	0.66	0.58	-0.65	1.91e-26	3.85e-23	(B) White
TSPO	22q13.2	11.42	10.40	1.05	0.89	1.02	4.88e-26	8.96e-23	(A) Black or African American
TRABD	22q13.33	10.11	9.29	0.85	0.77	0.82	8.46e-26	1.42e-22	(A) Black or African American
SPSB2	12p13.31	7.81	6.92	0.91	0.87	0.89	1.04e-25	1.61e-22	(A) Black or African American
BAX	19q13.33	9.87	9.17	0.73	0.65	0.70	1.16e-25	1.67e-22	(A) Black or African American
GLI4	8q24.3	7.87	6.79	1.11	1.11	1.08	1.27e-25	1.71e-22	(A) Black or African American
HOMER3	19p13.11	9.90	8.91	1.02	0.97	0.99	2.00e-25	2.53e-22	(A) Black or African American
LRRC37A2	17q21.31	5.98	7.06	1.15	0.86	-1.09	2.71e-25	3.21e-22	(B) White
STON1-GTF2A1L	2p16.3	0.58	1.80	1.16	1.83	-1.22	4.19e-25	4.70e-22	(B) White
ADRM1	20q13.33	11.33	10.62	0.75	0.71	0.71	6.05e-25	6.43e-22	(A) Black or African American
CHTF18	16p13.3	9.13	8.13	1.04	1.06	1.00	6.51e-25	6.56e-22	(A) Black or African American
FYCO1	3p21.31	9.71	10.39	0.72	0.71	-0.69	8.01e-25	7.69e-22	(B) White
SCX	8q24.3	2.68	1.47	1.30	1.10	1.22	9.02e-25	7.99e-22	(A) Black or African American
DDX51	12q24.33	9.30	8.74	0.59	0.54	0.55	9.11e-25	7.99e-22	(A) Black or African American
CAPN10	2q37.3	8.31	7.56	0.79	0.81	0.75	1.18e-24	9.94e-22	(A) Black or African American
CDK10	16q24.3	9.63	8.81	0.87	0.78	0.81	1.38e-24	1.12e-21	(A) Black or African American
UBALD2	17q25.1	9.94	9.19	0.80	0.74	0.75	1.73e-24	1.34e-21	(A) Black or African American
LRWD1	7q22.1	8.95	8.30	0.69	0.64	0.64	2.05e-24	1.53e-21	(A) Black or African American
ZGPAT	20q13.33	9.62	8.80	0.86	0.88	0.82	2.19e-24	1.56e-21	(A) Black or African American
NACA2	17q23.2	6.48	5.31	1.26	1.00	1.16	2.24e-24	1.56e-21	(A) Black or African American
ARHGEF12	11q23.3	11.27	12.06	0.85	0.66	-0.79	2.36e-24	1.59e-21	(B) White
PUS1	12q24.33	8.95	8.21	0.80	0.71	0.74	2.57e-24	1.67e-21	(A) Black or African American
CDT1	16q24.3	8.77	7.69	1.13	1.23	1.08	2.71e-24	1.69e-21	(A) Black or African American
REX1BD	19p13.11	8.97	7.88	1.17	1.01	1.09	2.76e-24	1.69e-21	(A) Black or African American
MXD3	5q35.3	8.25	7.39	0.92	0.84	0.86	3.07e-24	1.82e-21	(A) Black or African American
PKMYT1	16p13.3	9.11	8.02	1.14	1.32	1.09	3.39e-24	1.95e-21	(A) Black or African American
TOP1MT	8q24.3	9.95	9.05	0.97	0.84	0.90	4.04e-24	2.17e-21	(A) Black or African American
HEXD	17q25.3	8.73	7.83	0.96	0.91	0.90	4.09e-24	2.17e-21	(A) Black or African American
ALYREF	17q25.3	10.55	9.78	0.82	0.78	0.77	4.09e-24	2.17e-21	(A) Black or African American
PJA2	5q21.3	10.79	11.50	0.77	0.64	-0.71	4.45e-24	2.24e-21	(B) White
FEM1C	5q22.3	9.24	9.86	0.67	0.60	-0.62	4.51e-24	2.24e-21	(B) White
C1ORF159	1p36.33	8.20	7.37	0.90	0.82	0.83	4.56e-24	2.24e-21	(A) Black or African American
MIB2	1p36.33	8.77	7.87	0.96	1.02	0.90	4.91e-24	2.36e-21	(A) Black or African American
CACTIN	19p13.3	9.12	8.54	0.62	0.64	0.58	5.34e-24	2.51e-21	(A) Black or African American
POLD1	19q13.33	9.47	8.70	0.84	0.75	0.77	6.77e-24	3.05e-21	(A) Black or African American
ADCK5	8q24.3	8.12	7.16	1.04	0.96	0.96	6.80e-24	3.05e-21	(A) Black or African American
ATAD3B	1p36.33	8.61	7.57	1.12	1.08	1.04	9.04e-24	3.97e-21	(A) Black or African American
CLASRP	19q13.32	9.29	8.60	0.73	0.76	0.68	9.63e-24	4.14e-21	(A) Black or African American
TMED7	5q22.3	10.66	11.30	0.71	0.60	-0.64	1.01e-23	4.24e-21	(B) White
FAM114A2	5q33.2	8.41	8.92	0.54	0.57	-0.50	1.16e-23	4.79e-21	(B) White
MIIP	1p36.22	9.09	8.27	0.90	0.74	0.82	1.24e-23	5.02e-21	(A) Black or African American
YDJC	22q11.21	8.88	8.14	0.80	0.79	0.74	1.37e-23	5.32e-21	(A) Black or African American
FAM207A	21q22.3	8.11	7.06	1.16	0.93	1.05	1.37e-23	5.32e-21	(A) Black or African American
