Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
XKR9	8q13.3	2.98	5.47	1.88	2.24	-2.48	7.84e-24	1.57e-19	(B) White
UTS2	1p36.23	2.42	0.66	2.05	1.09	1.77	1.56e-18	1.57e-14	(A) Asian
TSPAN10	17q25.3	5.75	4.27	1.30	1.69	1.48	2.61e-17	1.75e-13	(A) Asian
POM121L10P	22q11.23	3.25	2.05	1.28	1.27	1.19	8.94e-16	3.89e-12	(A) Asian
PPM1K	4q22.1	5.40	6.58	1.36	1.13	-1.18	9.68e-16	3.89e-12	(B) White
THOC3	5q35.2	9.95	9.46	0.51	0.57	0.49	6.55e-15	2.19e-11	(A) Asian
SIRPB2	20p13	3.10	4.38	1.50	1.36	-1.28	1.90e-14	5.44e-11	(B) White
USP32P1	17p11.2	4.03	5.59	1.60	1.95	-1.56	2.41e-14	6.05e-11	(B) White
SPATA18	4q12	4.52	6.32	2.00	2.17	-1.80	7.79e-14	1.74e-10	(B) White
AKAIN1	18p11.31	0.67	1.77	0.99	1.64	-1.10	1.21e-12	2.43e-9	(B) White
TPSG1	16p13.3	0.92	2.27	1.31	2.07	-1.35	6.25e-12	1.14e-8	(B) White
DDX11L2	2q14.1	2.92	4.07	1.44	1.51	-1.15	9.76e-12	1.52e-8	(B) White
PRSS53	16p11.2	4.85	5.72	1.03	1.20	-0.87	9.84e-12	1.52e-8	(B) White
GSTT1	22q11.23	5.83	9.46	5.28	4.07	-3.63	2.75e-11	3.94e-8	(B) White
PDPR	16q22.1	7.63	8.40	1.07	0.94	-0.77	3.36e-11	4.33e-8	(B) White
SIGLEC14	19q13.41	2.57	4.08	2.24	1.62	-1.51	3.45e-11	4.33e-8	(B) White
SGCB	4q12	7.43	8.55	1.60	1.32	-1.11	4.04e-11	4.77e-8	(B) White
SIGLEC12	19q13.41	4.04	2.76	1.75	1.69	1.28	7.50e-11	8.36e-8	(A) Asian
NOTCH2NLA	1q21.1	9.74	9.02	1.01	0.95	0.72	1.26e-10	1.29e-7	(A) Asian
CEP44	4q34.1	7.37	7.81	0.59	0.62	-0.44	1.28e-10	1.29e-7	(B) White
