Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
CRYBB2	22q11.23	2.74	1.40	0.92	0.92	1.33	2.92e-12	5.87e-8	(A) BLACK OR AFRICAN AMERICAN
TDO2	4q32.1	1.57	3.56	1.24	3.21	-1.99	1.36e-11	1.37e-7	(B) WHITE
POLR2J3	7q22.1	10.21	9.54	0.51	0.76	0.67	1.21e-10	8.07e-7	(A) BLACK OR AFRICAN AMERICAN
ACER3	11q13.5	8.23	9.01	0.59	1.05	-0.78	4.18e-10	2.099e-6	(B) WHITE
NOTCH2NLA	1q21.1	10.03	9.43	0.52	0.45	0.60	2.12e-9	8.510e-6	(A) BLACK OR AFRICAN AMERICAN
CROCCP2	1p36.13	9.11	8.44	0.57	0.76	0.67	3.34e-9	1.119e-5	(A) BLACK OR AFRICAN AMERICAN
HSD3B7	16p11.2	9.35	8.63	0.65	0.66	0.73	6.20e-9	1.779e-5	(A) BLACK OR AFRICAN AMERICAN
TUBB8	10p15.3	3.80	3.04	0.69	0.64	0.76	8.93e-9	2.242e-5	(A) BLACK OR AFRICAN AMERICAN
B3GNT6	11q13.5	2.91	5.35	2.18	3.33	-2.44	1.82e-8	3.432e-5	(B) WHITE
LOC90784	2p11.2	7.18	8.34	1.10	0.47	-1.16	1.88e-8	3.432e-5	(B) WHITE
ADHFE1	8q13.1	8.53	7.77	0.67	1.09	0.76	1.96e-8	3.432e-5	(A) BLACK OR AFRICAN AMERICAN
LINC02159	5q34	0.01	0.12	0.06	0.29	-0.11	2.05e-8	3.432e-5	(B) WHITE
ELOVL2	6p24.2	10.00	8.92	0.99	1.43	1.09	2.63e-8	4.069e-5	(A) BLACK OR AFRICAN AMERICAN
POLR2J2	7q22.1	8.56	7.69	0.79	1.31	0.87	5.58e-8	8.009e-5	(A) BLACK OR AFRICAN AMERICAN
CPT1B	22q13.33	8.48	7.77	0.64	1.19	0.71	7.32e-8	9.641e-5	(A) BLACK OR AFRICAN AMERICAN
GRTP1	13q34	8.94	8.42	0.51	0.57	0.52	7.68e-8	9.641e-5	(A) BLACK OR AFRICAN AMERICAN
RHD	1p36.11	3.54	2.73	0.77	1.11	0.81	8.39e-8	9.910e-5	(A) BLACK OR AFRICAN AMERICAN
CLBA1	14q32.33	8.64	8.18	0.46	0.45	0.46	9.14e-8	1.016e-4	(A) BLACK OR AFRICAN AMERICAN
ZNF155	19q13.31	7.70	7.43	0.25	0.45	0.27	1.01e-7	1.016e-4	(A) BLACK OR AFRICAN AMERICAN
SLC23A1	5q31.2	8.11	7.19	0.90	1.30	0.93	1.24e-7	1.182e-4	(A) BLACK OR AFRICAN AMERICAN
SIX6	14q23.1	1.24	2.25	0.99	1.38	-1.01	1.34e-7	1.221e-4	(B) WHITE
SPRR2F	1q21.3	0.05	0.30	0.16	0.67	-0.26	1.57e-7	1.369e-4	(B) WHITE
PPIL3	2q33.1	7.32	7.86	0.56	0.49	-0.54	2.33e-7	1.905e-4	(B) WHITE
GDAP2	1p12	8.27	8.48	0.21	0.32	-0.21	2.37e-7	1.905e-4	(B) WHITE
SLC9A5	16q22.1	4.66	3.90	0.77	1.02	0.76	2.63e-7	2.032e-4	(A) BLACK OR AFRICAN AMERICAN
CDC25B	20p13	8.65	8.20	0.45	0.66	0.45	2.96e-7	2.170e-4	(A) BLACK OR AFRICAN AMERICAN
PPP3R1	2p14	10.30	10.51	0.21	0.27	-0.20	3.02e-7	2.170e-4	(B) WHITE
TMEM232	5q22.1	4.85	4.23	0.60	1.05	0.61	4.36e-7	3.023e-4	(A) BLACK OR AFRICAN AMERICAN
SNORD115-13	15q11.2	0.01	0.08	0.05	0.21	-0.08	4.85e-7	3.246e-4	(B) WHITE
RNF135	17q11.2	8.75	9.05	0.32	0.32	-0.30	5.05e-7	3.275e-4	(B) WHITE
DHRS4-AS1	14q11.2	8.93	9.39	0.50	0.31	-0.46	5.38e-7	3.379e-4	(B) WHITE
TTC38	22q13.31	11.02	10.50	0.57	0.48	0.51	9.46e-7	5.590e-4	(A) BLACK OR AFRICAN AMERICAN
PYROXD2	10q24.2	8.59	8.04	0.56	0.99	0.54	1.185e-6	6.801e-4	(A) BLACK OR AFRICAN AMERICAN
LOC100130872	4p16.3	10.05	9.08	1.02	1.63	0.96	1.449e-6	8.084e-4	(A) BLACK OR AFRICAN AMERICAN
PRSS41	16p13.3	0.03	0.20	0.13	0.48	-0.17	1.538e-6	8.351e-4	(B) WHITE
TOP1MT	8q24.3	9.41	8.87	0.61	0.63	0.54	1.699e-6	8.983e-4	(A) BLACK OR AFRICAN AMERICAN
PLA2G2A	1p36.13	11.74	13.40	1.85	2.48	-1.66	1.914e-6	9.862e-4	(B) WHITE
LYZL2	10p11.23	0.01	0.16	0.07	0.49	-0.15	2.048e-6	1.029e-3	(B) WHITE
OR2L13	1q44	2.90	1.63	1.47	1.57	1.27	2.322e-6	1.138e-3	(A) BLACK OR AFRICAN AMERICAN
MLPH	2q37.3	13.15	12.70	0.52	0.62	0.46	2.418e-6	1.157e-3	(A) BLACK OR AFRICAN AMERICAN
UPK3A	22q13.31	9.51	8.55	1.07	1.67	0.96	3.243e-6	1.449e-3	(A) BLACK OR AFRICAN AMERICAN
SH3GLB2	9q34.11	11.30	10.96	0.38	0.56	0.34	3.293e-6	1.449e-3	(A) BLACK OR AFRICAN AMERICAN
PLIN5	19p13.3	8.26	7.11	1.29	1.88	1.15	3.317e-6	1.449e-3	(A) BLACK OR AFRICAN AMERICAN
CCNY	10p11.21	10.54	10.76	0.27	0.26	-0.22	3.761e-6	1.608e-3	(B) WHITE
IZUMO4	19p13.3	6.80	6.09	0.84	0.95	0.71	4.134e-6	1.722e-3	(A) BLACK OR AFRICAN AMERICAN
PACSIN1	6p21.31	6.88	6.13	0.90	0.91	0.75	4.200e-6	1.722e-3	(A) BLACK OR AFRICAN AMERICAN
FRA10AC1	10q23.33	8.58	8.27	0.36	0.50	0.31	4.437e-6	1.731e-3	(A) BLACK OR AFRICAN AMERICAN
ELOA2	18q21.1	0.07	0.26	0.18	0.46	-0.19	4.556e-6	1.731e-3	(B) WHITE
SNX31	8q22.3	5.21	3.59	1.97	1.53	1.62	4.641e-6	1.731e-3	(A) BLACK OR AFRICAN AMERICAN
ULBP2	6q25.1	2.26	3.23	1.10	1.64	-0.97	4.685e-6	1.731e-3	(B) WHITE
FAM136BP	6p25.2	0.13	0.39	0.29	0.50	-0.26	4.821e-6	1.731e-3	(B) WHITE
FAM3A	Xq28	10.45	10.04	0.50	0.43	0.41	4.882e-6	1.731e-3	(A) BLACK OR AFRICAN AMERICAN
CUTALP	9q33.2	9.57	9.00	0.69	0.65	0.57	4.903e-6	1.731e-3	(A) BLACK OR AFRICAN AMERICAN
UGT2A1	4q13.3	0.02	0.14	0.11	0.32	-0.12	4.942e-6	1.731e-3	(B) WHITE
HMBS	11q23.3	9.06	8.74	0.38	0.47	0.32	5.049e-6	1.731e-3	(A) BLACK OR AFRICAN AMERICAN
SLC5A2	16p11.2	0.23	0.62	0.43	0.75	-0.39	5.082e-6	1.731e-3	(B) WHITE
FEZF2	3p14.2	0.13	0.54	0.34	1.14	-0.40	5.280e-6	1.768e-3	(B) WHITE
SCNN1D	1p36.33	6.67	5.86	0.94	1.35	0.81	5.384e-6	1.773e-3	(A) BLACK OR AFRICAN AMERICAN
SH3D21	1p34.3	7.51	6.96	0.65	0.78	0.54	5.786e-6	1.875e-3	(A) BLACK OR AFRICAN AMERICAN
FAM86FP	12p13.31	5.37	4.79	0.70	0.73	0.58	6.127e-6	1.954e-3	(A) BLACK OR AFRICAN AMERICAN
HNRNPUL2	11q12.3	11.50	11.65	0.18	0.19	-0.15	6.305e-6	1.979e-3	(B) WHITE
MYT1	20q13.33	1.89	3.08	1.39	2.09	-1.19	6.767e-6	2.088e-3	(B) WHITE
ZBTB48	1p36.31	9.21	8.89	0.39	0.46	0.32	6.915e-6	2.088e-3	(A) BLACK OR AFRICAN AMERICAN
MARVELD2	5q13.2	8.59	9.08	0.60	0.58	-0.49	6.973e-6	2.088e-3	(B) WHITE
MTMR2	11q21	9.78	10.10	0.38	0.47	-0.32	7.069e-6	2.088e-3	(B) WHITE
SLC7A9	19q13.11	2.61	1.93	0.82	1.00	0.68	7.838e-6	2.245e-3	(A) BLACK OR AFRICAN AMERICAN
ATP1A1-AS1	1p13.1	7.27	6.90	0.45	0.47	0.37	7.888e-6	2.245e-3	(A) BLACK OR AFRICAN AMERICAN
GATAD2B	1q21.3	9.35	9.57	0.27	0.31	-0.22	7.935e-6	2.245e-3	(B) WHITE
ABLIM3	5q32	8.97	8.32	0.80	0.79	0.64	8.543e-6	2.283e-3	(A) BLACK OR AFRICAN AMERICAN
C7ORF13	7q36.3	7.35	7.88	0.66	0.67	-0.53	8.594e-6	2.283e-3	(B) WHITE
NSUN5P1	7q11.23	7.93	7.23	0.84	1.17	0.70	8.672e-6	2.283e-3	(A) BLACK OR AFRICAN AMERICAN
LRRC37A2	17q21.31	6.42	7.15	0.92	0.73	-0.73	8.715e-6	2.283e-3	(B) WHITE
DECR2	16p13.3	9.28	8.84	0.53	0.64	0.43	8.736e-6	2.283e-3	(A) BLACK OR AFRICAN AMERICAN
FHOD1	16q22.1	9.25	8.82	0.54	0.50	0.43	8.830e-6	2.283e-3	(A) BLACK OR AFRICAN AMERICAN
TSPAN10	17q25.3	5.92	4.96	1.17	1.44	0.96	9.275e-6	2.321e-3	(A) BLACK OR AFRICAN AMERICAN
GOLGA2P5	12q23.1	7.63	7.14	0.58	0.85	0.49	9.419e-6	2.321e-3	(A) BLACK OR AFRICAN AMERICAN
SRR	17p13.3	8.14	7.88	0.31	0.46	0.26	9.502e-6	2.321e-3	(A) BLACK OR AFRICAN AMERICAN
HEATR4	14q24.3	2.89	2.36	0.66	0.79	0.54	9.578e-6	2.321e-3	(A) BLACK OR AFRICAN AMERICAN
ZNF692	1q44	9.73	9.26	0.57	0.80	0.47	9.590e-6	2.321e-3	(A) BLACK OR AFRICAN AMERICAN
LRRC31	3q26.2	3.56	5.23	2.07	2.28	-1.67	9.784e-6	2.327e-3	(B) WHITE
AGXT	2q37.3	0.28	0.74	0.52	0.93	-0.45	9.962e-6	2.327e-3	(B) WHITE
CLASRP	19q13.32	9.44	9.11	0.38	0.62	0.33	9.963e-6	2.327e-3	(A) BLACK OR AFRICAN AMERICAN
HSD17B12	11p11.2	10.62	10.96	0.42	0.52	-0.34	1.135e-5	2.612e-3	(B) WHITE
PCP2	19p13.2	3.93	3.17	0.93	1.33	0.77	1.149e-5	2.612e-3	(A) BLACK OR AFRICAN AMERICAN
CHKB-CPT1B	22q13.33	8.63	8.01	0.73	1.22	0.62	1.157e-5	2.612e-3	(A) BLACK OR AFRICAN AMERICAN
METTL27	7q11.23	7.63	6.85	0.99	1.02	0.78	1.186e-5	2.619e-3	(A) BLACK OR AFRICAN AMERICAN
GUSBP3	5q13.2	5.25	6.09	1.08	0.88	-0.84	1.186e-5	2.619e-3	(B) WHITE
P2RY11	19p13.2	7.31	6.75	0.65	1.12	0.56	1.283e-5	2.785e-3	(A) BLACK OR AFRICAN AMERICAN
GP2	16p12.3	7.67	9.20	1.90	2.47	-1.54	1.292e-5	2.785e-3	(B) WHITE
GUCY1B2	13q14.3	0.57	1.19	0.63	1.58	-0.62	1.316e-5	2.785e-3	(B) WHITE
