Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
UTS2	1p36.23	4.08	1.64	1.94	1.78	2.45	7.55e-19	1.26e-14	(A) Asian
SIRPB2	20p13	4.08	5.19	1.13	1.26	-1.11	1.49e-12	1.24e-8	(B) White
POM121L10P	22q11.23	3.12	2.07	1.11	1.24	1.05	6.71e-12	3.37e-8	(A) Asian
MGMT	10q26.3	8.69	8.01	0.62	1.06	0.67	8.07e-12	3.37e-8	(A) Asian
SIGLEC14	19q13.41	3.02	5.14	2.46	1.73	-2.12	2.39e-11	6.71e-8	(B) White
USP32P1	17p11.2	5.63	7.08	1.56	1.81	-1.45	2.41e-11	6.71e-8	(B) White
MAPK8IP1P2	17q21.31	1.35	2.71	1.30	2.21	-1.36	4.08e-11	9.75e-8	(B) White
CTAGE15	7q35	6.88	6.00	0.96	1.12	0.88	5.44e-11	1.14e-7	(A) Asian
RHD	1p36.11	3.89	2.85	1.15	1.41	1.05	9.22e-11	1.71e-7	(A) Asian
CTAGE4	7q35	6.49	5.54	1.08	1.28	0.94	3.18e-10	5.31e-7	(A) Asian
CTAGE9	6q23.2	8.27	7.38	1.05	1.21	0.90	5.38e-10	8.18e-7	(A) Asian
PEX6	6p21.1	7.94	8.77	1.02	1.01	-0.83	8.61e-10	1.200e-6	(B) White
DDX11L2	2q14.1	2.28	3.47	1.44	1.54	-1.19	9.53e-10	1.226e-6	(B) White
CTAGE6	7q35	3.25	2.53	0.91	0.99	0.72	3.77e-9	4.243e-6	(A) Asian
ANKRD36B	2q11.2	6.37	5.63	0.91	1.06	0.73	3.81e-9	4.243e-6	(A) Asian
GSTT1	22q11.23	4.70	7.97	4.58	3.50	-3.27	1.59e-8	1.665e-5	(B) White
PABPN1	14q11.2	11.78	11.38	0.52	0.60	0.40	2.26e-8	2.218e-5	(A) Asian
CCDC58	3q21.1	8.36	7.81	0.77	0.72	0.55	3.94e-8	3.658e-5	(A) Asian
SCARNA2	1p13.3	3.71	2.95	1.00	1.30	0.76	6.00e-8	5.278e-5	(A) Asian
FAM157B	9q34.3	0.77	1.34	0.70	1.10	-0.57	6.41e-8	5.279e-5	(B) White
SIGLEC12	19q13.41	5.81	4.67	1.54	1.83	1.14	6.63e-8	5.279e-5	(A) Asian
USP32P2	17p11.2	5.75	4.40	1.84	2.19	1.35	7.45e-8	5.660e-5	(A) Asian
PHF14	7p21.3	11.01	10.53	0.67	0.72	0.48	7.99e-8	5.808e-5	(A) Asian
PPIL3	2q33.1	8.37	8.01	0.48	0.63	0.36	8.86e-8	6.171e-5	(A) Asian
TRMT61B	2p23.2	8.58	8.31	0.38	0.43	0.27	1.25e-7	8.346e-5	(A) Asian
PPP1R10	6p21.33	10.80	10.51	0.41	0.47	0.29	1.38e-7	8.890e-5	(A) Asian
MALAT1	11q13.1	13.42	12.73	0.93	1.23	0.69	1.49e-7	9.255e-5	(A) Asian
CCDC66	3p14.3	8.24	7.86	0.52	0.66	0.38	1.59e-7	9.477e-5	(A) Asian
FKBP3	14q21.2	10.54	10.18	0.49	0.61	0.36	1.67e-7	9.643e-5	(A) Asian
U2AF1	21q22.3	11.05	10.71	0.51	0.53	0.34	3.55e-7	1.962e-4	(A) Asian
SKA2	17q22	9.83	9.50	0.47	0.57	0.33	3.64e-7	1.962e-4	(A) Asian
SNRPB2	20p12.1	11.00	10.51	0.74	0.72	0.49	3.89e-7	2.033e-4	(A) Asian
RPL36A	Xq22.1	6.92	6.33	0.87	0.98	0.59	4.06e-7	2.056e-4	(A) Asian
LILRA3	19q13.4	1.63	2.83	1.80	1.89	-1.20	4.33e-7	2.129e-4	(B) White
METTL18	1q24.2	7.58	7.25	0.51	0.51	0.33	4.75e-7	2.268e-4	(A) Asian
SDHAF3	7q21.3	8.39	7.84	0.79	1.02	0.55	6.43e-7	2.986e-4	(A) Asian
FLJ42393	3q27.3	2.10	1.42	1.05	1.12	0.69	6.82e-7	3.083e-4	(A) Asian
GAR1	4q25	9.20	8.86	0.53	0.56	0.35	8.12e-7	3.574e-4	(A) Asian
