Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
XKR9	8q13.3	1.69	3.45	1.01	1.44	-1.76	1.74e-17	3.48e-13	(B) White
FAM182A	20p11.1	0.46	1.27	0.52	0.92	-0.80	2.05e-14	2.06e-10	(B) White
PSG5	19q13.31	0.23	0.88	0.48	1.26	-0.65	3.82e-10	2.552e-6	(B) White
LRRC19	9p21.2	2.25	1.52	0.64	0.85	0.73	5.32e-10	2.667e-6	(A) Asian
PSG4	19q13.31	0.38	1.57	0.95	2.19	-1.20	6.72e-10	2.696e-6	(B) White
UTS2	1p36.23	2.91	0.93	1.92	1.25	1.98	2.78e-9	7.968e-6	(A) Asian
DDX11L2	2q14.1	2.24	3.32	1.00	1.46	-1.08	3.21e-9	8.045e-6	(B) White
ATAD3C	1p36.33	9.15	8.49	0.64	0.71	0.67	3.99e-9	8.895e-6	(A) Asian
TSPAN10	17q25.3	5.25	4.31	0.87	1.33	0.94	4.75e-9	9.531e-6	(A) Asian
RGS11	16p13.3	6.51	5.41	1.07	1.37	1.09	1.08e-8	1.954e-5	(A) Asian
SEC1P	19q13.33	2.25	3.04	0.81	0.73	-0.80	1.17e-8	1.954e-5	(B) White
CRCT1	1q21.3	0.05	0.33	0.19	0.67	-0.27	1.27e-8	1.960e-5	(B) White
FBLL1	5q34	5.11	3.86	1.24	1.63	1.25	1.51e-8	2.158e-5	(A) Asian
MKX	10p12.1	7.38	5.39	2.12	1.87	1.99	3.87e-8	4.854e-5	(A) Asian
WFIKKN1	16p13.3	4.07	3.17	0.94	1.14	0.90	4.15e-8	4.857e-5	(A) Asian
THNSL2	2p11.2	10.39	9.81	0.53	1.23	0.59	4.36e-8	4.857e-5	(A) Asian
FKBP1AP1	19q13.43	4.22	3.40	0.85	1.24	0.81	8.43e-8	8.898e-5	(A) Asian
RNASE12	14q11.2	0.01	0.13	0.08	0.34	-0.12	1.14e-7	1.140e-4	(B) White
TMX4	20p12.3	10.31	9.94	0.42	0.49	0.37	3.04e-7	2.907e-4	(A) Asian
RHD	1p36.11	2.37	1.76	0.69	0.85	0.61	3.81e-7	3.460e-4	(A) Asian
CTAGE15	7q35	6.51	5.92	0.67	0.88	0.59	3.99e-7	3.460e-4	(A) Asian
ZP3	7q11.23	5.68	6.52	0.98	1.02	-0.84	4.14e-7	3.460e-4	(B) White
OR3A2	17p13.3	0.16	0.65	0.54	0.93	-0.49	6.46e-7	5.188e-4	(B) White
CLC	19q13.2	0.06	0.25	0.17	0.48	-0.18	1.002e-6	7.735e-4	(B) White
ARMC4	10p12.1	5.02	3.89	1.39	1.45	1.13	1.458e-6	1.083e-3	(A) Asian
C2CD4C	19p13.3	7.66	6.31	1.70	1.64	1.36	1.661e-6	1.190e-3	(A) Asian
ZNF285	19q13.31	6.67	6.37	0.38	0.46	0.31	2.100e-6	1.453e-3	(A) Asian
SPRR2A	1q21.3	0.06	0.26	0.17	0.63	-0.20	2.559e-6	1.711e-3	(B) White
ZNF155	19q13.31	7.96	7.69	0.34	0.40	0.27	2.687e-6	1.739e-3	(A) Asian
TMEM254-AS1	10q22.3	6.39	5.94	0.59	0.63	0.45	5.000e-6	2.930e-3	(A) Asian
CTAGE9	6q23.2	8.01	7.49	0.67	0.79	0.52	5.112e-6	2.930e-3	(A) Asian
INE2	Xp22.2	5.26	4.54	0.92	1.26	0.72	5.624e-6	3.134e-3	(A) Asian
RASD1	17p11.2	9.45	10.51	1.42	1.30	-1.06	5.900e-6	3.199e-3	(B) White
CTAGE4	7q35	6.45	5.94	0.66	0.80	0.50	6.304e-6	3.329e-3	(A) Asian
CHRND	2q37.1	0.01	0.12	0.07	0.39	-0.11	6.886e-6	3.543e-3	(B) White
LRP8	1p32.3	8.15	8.87	0.95	1.12	-0.71	7.370e-6	3.697e-3	(B) White
DDX11	12p11.21	7.07	7.87	1.09	1.03	-0.80	7.857e-6	3.845e-3	(B) White
RHCE	1p36.11	2.21	2.96	1.02	1.03	-0.75	8.955e-6	4.178e-3	(B) White
HMHB1	5q31.3	0.07	0.22	0.17	0.41	-0.15	9.419e-6	4.201e-3	(B) White
FLJ42627	16p13.3	5.32	5.01	0.39	0.65	0.31	9.422e-6	4.201e-3	(A) Asian
SPATC1L	21q22.3	7.12	6.51	0.73	1.49	0.61	1.077e-5	4.697e-3	(A) Asian
SLC10A5	8q21.13	3.74	3.32	0.58	0.64	0.42	1.116e-5	4.766e-3	(A) Asian
NPNT	4q24	13.86	13.50	0.49	0.64	0.36	1.504e-5	6.158e-3	(A) Asian
MAPK8IP1P2	17q21.31	3.36	3.84	0.60	1.15	-0.48	1.804e-5	7.164e-3	(B) White
AMDHD1	12q23.1	3.15	2.56	0.81	1.10	0.59	1.864e-5	7.164e-3	(A) Asian
METTL27	7q11.23	6.85	6.03	1.14	1.33	0.82	1.891e-5	7.164e-3	(A) Asian
LINC00638	14q32.33	4.90	5.44	0.79	0.70	-0.55	1.892e-5	7.164e-3	(B) White
PCAT18	18q11.2	5.36	4.37	1.35	1.98	1.00	1.979e-5	7.309e-3	(A) Asian
FRG2B	10q26.3	0.03	0.12	0.10	0.30	-0.10	2.004e-5	7.309e-3	(B) White
LOC388955	2p15	7.88	8.22	0.49	0.49	-0.34	2.052e-5	7.351e-3	(B) White
