Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CHEK1	11q24.2	-0.34	-0.02	0.29	0.40	-0.31	5.59e-9	6.66e-7	(B) White
RAB11A	15q22.31	-0.49	-0.26	0.22	0.19	-0.23	9.89e-9	6.66e-7	(B) White
RAB11B	19p13.2	-0.49	-0.26	0.22	0.19	-0.23	9.89e-9	6.66e-7	(B) White
PGR	11q22.1	-0.74	-0.92	0.19	0.05	0.18	2.26e-8	1.143e-6	(A) Black or African American
ERCC1	19q13.32	-0.54	-0.21	0.36	0.28	-0.33	7.69e-8	3.107e-6	(B) White
ERBB3_PY1298	22q13.1	0.46	0.25	0.25	0.14	0.21	2.66e-7	8.954e-6	(A) Black or African American
EIF4EBP1_PT70	17q21	-0.29	-0.47	0.22	0.19	0.18	9.70e-7	2.473e-5	(A) Black or African American
CDKN1A	6p21.2	0.18	0.49	0.38	0.29	-0.31	9.79e-7	2.473e-5	(B) White
RPS6KB1_PT389	6q21	-1.16	-1.52	0.45	0.33	0.37	1.467e-6	3.292e-5	(A) Black or African American
PRDX1	1p34.1	-1.80	-1.59	0.26	0.25	-0.21	2.145e-6	4.333e-5	(B) White
AR	Xq12	-1.03	-0.73	0.40	0.22	-0.31	3.199e-6	5.874e-5	(B) White
DIRAS3	1p31.3	-2.79	-2.55	0.31	0.30	-0.24	3.617e-6	6.089e-5	(B) White
RAF1_PS338	1q44	0.06	-0.10	0.23	0.12	0.17	5.624e-6	8.739e-5	(A) Black or African American
ACACA	17q12	1.85	1.38	0.63	0.57	0.46	9.943e-6	1.435e-4	(A) Black or African American
ESR1	6q25.1-q25.2	-1.92	-2.22	0.41	0.25	0.30	1.066e-5	1.436e-4	(A) Black or African American
MS4A1	11q12.2	-0.31	-0.18	0.19	0.14	-0.13	2.621e-5	3.309e-4	(B) White
GATA3	10p14	-0.10	-0.32	0.33	0.28	0.22	5.061e-5	6.014e-4	(A) Black or African American
ERRFI1	1p36.23	-0.19	-0.28	0.13	0.11	0.09	7.777e-5	8.728e-4	(A) Black or African American
PIK3R1	5q13.1	1.65	1.49	0.26	0.20	0.16	1.087e-4	1.098e-3	(A) Black or African American
PIK3R2	19p13.11	1.65	1.49	0.26	0.20	0.16	1.087e-4	1.098e-3	(A) Black or African American
NFKB1_PS536	16p11.2	0.01	-0.45	0.75	0.74	0.46	2.489e-4	2.394e-3	(A) Black or African American
G6PD	Xq28	-1.24	-1.06	0.30	0.27	-0.17	2.954e-4	2.670e-3	(B) White
RPS6KA1	1p36.11	0.19	-0.05	0.40	0.38	0.24	3.040e-4	2.670e-3	(A) Black or African American
ETS1	11q24.3	0.60	1.16	0.99	0.78	-0.55	4.719e-4	3.972e-3	(B) White
COL6A1	21q22.3	0.38	0.71	0.59	0.52	-0.33	5.887e-4	4.756e-3	(B) White
XRCC1	19q13.31	-0.13	0.05	0.31	0.27	-0.17	6.167e-4	4.757e-3	(B) White
TGM2	20q11.23	-0.36	-0.15	0.38	0.44	-0.22	6.474e-4	4.757e-3	(B) White
CHEK2_PT68	1p32-p31	-0.52	-0.67	0.27	0.21	0.15	6.691e-4	4.757e-3	(A) Black or African American
BIRC2	11q22.2	0.44	0.30	0.26	0.25	0.14	6.829e-4	4.757e-3	(A) Black or African American
EGFR_PY1173	3p25	0.37	0.43	0.11	0.15	-0.06	7.978e-4	5.372e-3	(B) White
YBX1_PS102	20q12-q13	0.12	-0.01	0.26	0.23	0.14	8.506e-4	5.543e-3	(A) Black or African American
HSPA1A	6p21.33	0.35	0.72	0.67	0.82	-0.37	1.145e-3	7.230e-3	(B) White
EEF2	19p13.3	1.23	1.56	0.64	0.59	-0.33	1.268e-3	7.762e-3	(B) White
PECAM1	17q23.3	-1.25	-1.15	0.19	0.20	-0.10	1.432e-3	8.280e-3	(B) White
NF2	22q12.2	0.93	1.13	0.41	0.30	-0.21	1.456e-3	8.280e-3	(B) White
BID	22q11.21	0.61	0.71	0.19	0.15	-0.10	1.476e-3	8.280e-3	(B) White
STMN1	1p36.11	-0.22	-0.34	0.24	0.19	0.12	1.820e-3	9.935e-3	(A) Black or African American
MYH11	16p13.11	1.56	2.34	1.54	1.55	-0.78	2.027e-3	0.0108	(B) White
CCNE2	8q22.1	0.94	1.17	0.47	0.28	-0.22	2.275e-3	0.0118	(B) White
FOXM1	12p13.33	-0.47	-0.71	0.50	0.45	0.24	3.207e-3	0.0158	(A) Black or African American
MSH2	2p21-p16.3	-0.64	-0.89	0.54	0.36	0.25	3.255e-3	0.0158	(A) Black or African American
IRS1	2q36.3	-0.41	-0.52	0.23	0.25	0.11	3.285e-3	0.0158	(A) Black or African American
CHEK1_PS345	5p12	-0.46	-0.38	0.18	0.15	-0.08	3.393e-3	0.0159	(B) White
BAK1	6p21.31	1.02	0.87	0.32	0.28	0.15	3.685e-3	0.0169	(A) Black or African American
MAPK9	5q35.3	0.48	0.64	0.34	0.24	-0.15	4.029e-3	0.0181	(B) White
CDH2	18q12.1	-0.25	-0.07	0.39	0.33	-0.18	4.528e-3	0.0195	(B) White
PEA15	1q23.2	0.80	0.97	0.40	0.26	-0.17	4.612e-3	0.0195	(B) White
ACVRL1	12q13.13	-0.51	-0.38	0.28	0.25	-0.13	4.709e-3	0.0195	(B) White
JUN_PS73	17q21.31	-0.66	-0.79	0.28	0.27	0.13	4.815e-3	0.0195	(A) Black or African American
RPS6KA1_PT359_S363	5q21-q22	-0.27	-0.45	0.36	0.47	0.17	4.816e-3	0.0195	(A) Black or African American
MAPK8_PT183_Y185		-0.43	-0.55	0.27	0.23	0.12	5.626e-3	0.0223	(A) Black or African American
VHL	3p25.3	1.16	1.88	1.66	1.16	-0.71	5.913e-3	0.0230	(B) White
RPS6_PS235_S236	5q21-q22	-0.61	-0.91	0.71	0.56	0.29	8.908e-3	0.0340	(A) Black or African American
GAPDH	12p13.31	1.24	1.55	0.74	0.73	-0.31	9.497e-3	0.0353	(B) White
TIGAR	12p13.32	1.75	2.02	0.64	0.65	-0.27	9.616e-3	0.0353	(B) White
AKT1S1_PT246	17q23.1	0.13	0.04	0.22	0.18	0.09	0.0106	0.0384	(A) Black or African American
RPS6	9p22.1	0.72	0.45	0.69	0.55	0.27	0.0121	0.0427	(A) Black or African American
PRKAA1_PT172	19q13.1-q13.2	3.04	2.87	0.40	0.53	0.17	0.0128	0.0445	(A) Black or African American
MYC	8q24.21	0.85	1.11	0.68	0.54	-0.26	0.0133	0.0457	(B) White
STAT3_PY705	19q13.33	0.14	0.26	0.29	0.31	-0.12	0.0138	0.0464	(B) White
FASN	17q25.3	0.58	0.27	0.82	0.63	0.31	0.0146	0.0482	(A) Black or African American
ARAF_PS299	12q24.11	-1.36	-1.30	0.15	0.14	-0.06	0.0152	0.0496	(B) White
WWTR1	3q25.1	0.27	0.37	0.23	0.29	-0.09	0.0164	0.0525	(B) White
SHC1_PY317	13q14.2	-2.14	-2.04	0.24	0.28	-0.10	0.0174	0.0546	(B) White
RICTOR_PT1135	2q31.1	0.27	0.17	0.27	0.17	0.10	0.0176	0.0546	(A) Black or African American
ANXA1	9q21.13	-0.28	-0.08	0.52	0.63	-0.20	0.0189	0.0572	(B) White
ATM	11q22.3	1.91	1.67	0.65	0.67	0.25	0.0193	0.0572	(A) Black or African American
ACACA_PS79	3q13.3	0.27	0.06	0.57	0.49	0.21	0.0195	0.0572	(A) Black or African American
ACACB_PS79	8p11.1	0.27	0.06	0.57	0.49	0.21	0.0195	0.0572	(A) Black or African American
SMAD3	15q22.33	0.81	0.91	0.27	0.26	-0.10	0.0224	0.0646	(B) White
PDK1_PS241	15q22.1-q22.33	0.77	0.67	0.27	0.27	0.10	0.0254	0.0723	(A) Black or African American
PTEN	10q23.31	0.28	0.47	0.52	0.63	-0.19	0.0276	0.0760	(B) White
GSK3A_PS9	8p11.1	0.22	0.02	0.56	0.57	0.20	0.0281	0.0760	(A) Black or African American
GSK3B_PS9	8p11.1	0.22	0.02	0.56	0.57	0.20	0.0281	0.0760	(A) Black or African American
RAD51	15q15.1	-0.46	-0.61	0.43	0.36	0.15	0.0282	0.0760	(A) Black or African American
DVL3	3q27.1	0.22	0.33	0.33	0.34	-0.12	0.0293	0.0779	(B) White
RPTOR	17q25.3	1.31	1.41	0.27	0.32	-0.10	0.0303	0.0796	(B) White
MAP2K1_PS217_S221	5q21-q22	-0.18	-0.31	0.39	0.35	0.13	0.0324	0.0832	(A) Black or African American
EGFR	7p11.2	0.04	0.11	0.20	0.24	-0.07	0.0325	0.0832	(B) White
GSK3A_PS21_S9	5q21-q22	0.98	0.77	0.62	0.60	0.21	0.0372	0.0923	(A) Black or African American
GSK3B_PS21_S9	5q21-q22	0.98	0.77	0.62	0.60	0.21	0.0372	0.0923	(A) Black or African American
