Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
MYH11	16p13.11	-0.60	0.70	1.37	1.97	-1.29	3.14e-10	6.34e-8	(B) White
RAD51	15q15.1	-0.80	-1.10	0.38	0.26	0.31	1.27e-9	1.28e-7	(A) Black or African American
MRE11	11q21	0.03	-0.09	0.17	0.19	0.12	1.83e-7	1.229e-5	(A) Black or African American
CHEK2_PT68	1p32-p31	-0.59	-0.81	0.33	0.36	0.22	8.78e-7	4.436e-5	(A) Black or African American
PRKCD_PS664	12p13.1-p12	-0.42	-0.60	0.30	0.19	0.18	1.704e-6	6.884e-5	(A) Black or African American
RPS6KB1_PT389	6q21	-1.40	-1.75	0.59	0.35	0.35	2.162e-6	7.279e-5	(A) Black or African American
EIF4EBP1	8p11.23	0.40	0.12	0.45	0.47	0.28	3.284e-6	9.476e-5	(A) Black or African American
ETS1	11q24.3	0.11	0.49	0.63	0.57	-0.38	3.971e-6	1.003e-4	(B) White
FOXM1	12p13.33	-0.51	-0.79	0.46	0.45	0.28	4.973e-6	1.116e-4	(A) Black or African American
EEF2	19p13.3	1.03	1.41	0.63	0.61	-0.38	6.664e-6	1.346e-4	(B) White
JUN_PS73	17q21.31	-0.72	-0.89	0.31	0.26	0.17	3.352e-5	6.156e-4	(A) Black or African American
STMN1	1p36.11	-0.15	-0.30	0.28	0.26	0.15	5.883e-5	9.208e-4	(A) Black or African American
PREX1	20q13.13	-0.84	-1.11	0.51	0.51	0.27	5.926e-5	9.208e-4	(A) Black or African American
ERBB3_PY1298	22q13.1	0.37	0.27	0.21	0.18	0.11	6.752e-5	9.283e-4	(A) Black or African American
PIK3CA	3q26.32	-0.46	-0.64	0.35	0.32	0.18	6.893e-5	9.283e-4	(A) Black or African American
ERCC1	19q13.32	-0.44	-0.30	0.26	0.33	-0.14	7.891e-5	9.962e-4	(B) White
TGM2	20q11.23	-0.23	0.13	0.70	0.75	-0.36	1.150e-4	1.310e-3	(B) White
AKT1_PT308	8p11.1	0.36	0.91	1.09	1.09	-0.55	1.321e-4	1.310e-3	(B) White
AKT2_PT308	8p11.1	0.36	0.91	1.09	1.09	-0.55	1.321e-4	1.310e-3	(B) White
AKT3_PT308	8p11.1	0.36	0.91	1.09	1.09	-0.55	1.321e-4	1.310e-3	(B) White
MAPK14_PT180_Y182	5q21-q22	0.23	0.62	0.77	0.77	-0.39	1.425e-4	1.310e-3	(B) White
AKT1_PS473	8p11.1	-0.34	0.28	1.24	1.20	-0.62	1.556e-4	1.310e-3	(B) White
AKT2_PS473	8p11.1	-0.34	0.28	1.24	1.20	-0.62	1.556e-4	1.310e-3	(B) White
AKT3_PS473	8p11.1	-0.34	0.28	1.24	1.20	-0.62	1.556e-4	1.310e-3	(B) White
PRKAA1	5p13.1	0.86	1.01	0.30	0.32	-0.15	2.139e-4	1.729e-3	(B) White
IRS1	2q36.3	-0.44	-0.64	0.46	0.35	0.21	3.913e-4	3.040e-3	(A) Black or African American
PEA15_PS116	1p36.2	-0.34	-0.02	0.70	0.60	-0.31	4.434e-4	3.317e-3	(B) White
BID	22q11.21	0.58	0.49	0.21	0.20	0.09	5.498e-4	3.966e-3	(A) Black or African American
RAD50	5q31.1	0.30	0.50	0.45	0.43	-0.20	7.347e-4	5.117e-3	(B) White
BCL2L11	2q13	0.41	0.18	0.53	0.44	0.23	8.081e-4	5.441e-3	(A) Black or African American
BECN1	17q21.31	-0.76	-0.84	0.18	0.20	0.08	8.404e-4	5.476e-3	(A) Black or African American
EIF4EBP1_PT70	17q21	-0.23	-0.34	0.26	0.21	0.11	1.081e-3	6.826e-3	(A) Black or African American
NOTCH1	9q34.3	-0.62	-0.74	0.29	0.25	0.12	1.460e-3	8.939e-3	(A) Black or African American
RAF1_PS338	1q44	0.09	0.01	0.21	0.16	0.08	1.526e-3	9.067e-3	(A) Black or African American
XBP1	22q12.1|22q12	-1.09	-0.98	0.26	0.26	-0.10	1.915e-3	0.0110	(B) White
FASN	17q25.3	0.44	0.13	0.81	0.70	0.32	1.978e-3	0.0111	(A) Black or African American
RPS6KA1_PT359_S363	5q21-q22	-0.39	-0.53	0.36	0.34	0.14	2.589e-3	0.0141	(A) Black or African American
CCNE1	19q12	0.26	-0.09	0.94	0.72	0.35	2.743e-3	0.0146	(A) Black or African American
NRAS	1p13.2	-1.42	-1.51	0.21	0.24	0.08	2.831e-3	0.0147	(A) Black or African American
EIF4E	4q23	0.48	0.35	0.35	0.35	0.13	3.287e-3	0.0164	(A) Black or African American
RPS6_PS240_S244	5q21-q22	-0.93	-0.66	0.72	0.69	-0.27	3.339e-3	0.0164	(B) White
CDKN1A	6p21.2	0.17	0.30	0.38	0.26	-0.13	3.995e-3	0.0192	(B) White
GATA3	10p14	-0.10	-0.23	0.37	0.32	0.13	4.882e-3	0.0229	(A) Black or African American
ACACA	17q12	1.71	1.46	0.73	0.61	0.26	5.076e-3	0.0233	(A) Black or African American
MS4A1	11q12.2	-0.09	0.00	0.27	0.24	-0.09	5.330e-3	0.0239	(B) White
GAPDH	12p13.31	1.91	2.28	1.05	0.96	-0.37	5.689e-3	0.0250	(B) White
FOXO3	6q21	-0.62	-0.69	0.20	0.20	0.07	6.298e-3	0.0271	(A) Black or African American
ERRFI1	1p36.23	-0.19	-0.24	0.16	0.19	0.06	6.827e-3	0.0277	(A) Black or African American
PDCD4	10q25.2	1.36	1.64	0.79	0.79	-0.27	7.070e-3	0.0277	(B) White
MSH2	2p21-p16.3	-0.50	-0.67	0.51	0.41	0.17	7.090e-3	0.0277	(A) Black or African American
GSK3A_PS9	8p11.1	0.43	0.67	0.70	0.68	-0.24	7.124e-3	0.0277	(B) White
GSK3B_PS9	8p11.1	0.43	0.67	0.70	0.68	-0.24	7.124e-3	0.0277	(B) White
TSC2_PT1462	1q21	-0.76	-0.63	0.34	0.40	-0.12	7.492e-3	0.0286	(B) White
RPTOR	17q25.3	1.23	1.33	0.33	0.25	-0.11	8.058e-3	0.0301	(B) White
ERBB3	12q13.2	0.30	0.13	0.55	0.45	0.18	9.177e-3	0.0337	(A) Black or African American
EIF4EBP1_PS65	8p12	0.33	0.22	0.34	0.32	0.11	0.0104	0.0374	(A) Black or African American
PEA15	1q23.2	0.93	1.05	0.36	0.35	-0.12	0.0109	0.0386	(B) White
CDKN1B_PT157	8p12	-0.26	-0.30	0.13	0.12	0.04	0.0129	0.0450	(A) Black or African American
CTNNB1	3p22.1	2.38	2.70	1.03	0.82	-0.32	0.0132	0.0453	(B) White
BIRC2	11q22.2	0.26	0.17	0.31	0.25	0.10	0.0139	0.0467	(A) Black or African American
SYK	9q22.2	1.94	2.15	0.71	0.65	-0.22	0.0161	0.0517	(B) White
