Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
ESR1	6q25.1-q25.2	0.43	1.56	1.71	1.73	-1.13	7.51e-7	1.705e-4	(B) WHITE
ASNS	7q21.3	0.13	-0.23	0.58	0.56	0.36	1.957e-6	2.222e-4	(A) BLACK OR AFRICAN AMERICAN
RAD51	15q15.1	0.08	-0.14	0.37	0.31	0.23	3.083e-6	2.333e-4	(A) BLACK OR AFRICAN AMERICAN
GATA3	10p14	1.12	1.77	1.13	1.07	-0.65	1.166e-5	6.615e-4	(B) WHITE
NOTCH1	9q34.3	0.16	0.01	0.28	0.26	0.15	2.533e-5	1.150e-3	(A) BLACK OR AFRICAN AMERICAN
TP53	17p13.1	0.12	-0.16	0.55	0.43	0.28	6.945e-5	2.084e-3	(A) BLACK OR AFRICAN AMERICAN
TP53BP1	15q15.3	-0.49	-0.25	0.46	0.49	-0.24	7.822e-5	2.084e-3	(B) WHITE
NF2	22q12.2	-0.50	-0.34	0.32	0.40	-0.17	8.167e-5	2.084e-3	(B) WHITE
CDK1	10q21.2	-0.01	-0.14	0.24	0.27	0.13	8.261e-5	2.084e-3	(A) BLACK OR AFRICAN AMERICAN
PGR	11q22.1	0.02	0.13	0.21	0.30	-0.11	1.094e-4	2.483e-3	(B) WHITE
ERCC5	13q33.1	-0.26	-0.08	0.36	0.39	-0.18	1.362e-4	2.810e-3	(B) WHITE
ABL1	9q34.12	-0.10	0.00	0.22	0.22	-0.10	1.955e-4	3.435e-3	(B) WHITE
FOXO3	6q21	0.20	0.09	0.23	0.20	0.11	2.076e-4	3.435e-3	(A) BLACK OR AFRICAN AMERICAN
MAPK8_PT183	3q13.3	0.11	0.22	0.22	0.29	-0.11	2.119e-4	3.435e-3	(B) WHITE
ESR1_PS118	11q24.2	-0.16	0.05	0.42	0.58	-0.21	2.459e-4	3.722e-3	(B) WHITE
PRKCA	17q24.2	-0.31	-0.49	0.38	0.33	0.18	2.819e-4	4.000e-3	(A) BLACK OR AFRICAN AMERICAN
RB1	13q14.2	-0.11	-0.00	0.24	0.25	-0.11	4.713e-4	6.126e-3	(B) WHITE
STMN1	1p36.11	0.20	0.07	0.29	0.29	0.13	4.857e-4	6.126e-3	(A) BLACK OR AFRICAN AMERICAN
MAPK9	5q35.3	0.05	0.19	0.31	0.38	-0.14	6.494e-4	7.759e-3	(B) WHITE
INPP4B	4q31.21	0.77	1.24	1.09	1.11	-0.48	6.907e-4	7.840e-3	(B) WHITE
AR	Xq12	0.55	0.97	0.99	0.85	-0.42	7.342e-4	7.887e-3	(B) WHITE
MS4A1	11q12.2	0.09	-0.01	0.25	0.22	0.11	8.506e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
PCNA	20p12.3	-0.07	-0.18	0.26	0.26	0.11	8.508e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
CASP7	10q25.3	-0.01	-0.37	0.86	0.65	0.36	8.540e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
FASN	17q25.3	0.42	0.89	1.10	1.13	-0.47	9.110e-4	7.887e-3	(B) WHITE
FOXM1	12p13.33	0.04	-0.16	0.46	0.44	0.20	9.200e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
MAPK1_PT202_Y204	5q21-q22	0.34	0.62	0.66	0.70	-0.28	9.729e-4	7.887e-3	(B) WHITE
MAPK3_PT202_Y204	5q21-q22	0.34	0.62	0.66	0.70	-0.28	9.729e-4	7.887e-3	(B) WHITE
CDH3	16q22.1	0.08	-0.00	0.20	0.21	0.08	1.115e-3	8.666e-3	(A) BLACK OR AFRICAN AMERICAN
PRKCA_PS657	4q24	-0.16	-0.31	0.36	0.31	0.15	1.158e-3	8.666e-3	(A) BLACK OR AFRICAN AMERICAN
CCNE1	19q12	-0.39	-0.65	0.65	0.48	0.26	1.183e-3	8.666e-3	(A) BLACK OR AFRICAN AMERICAN
CCNB1	5q13.2	-0.34	-0.67	0.82	0.85	0.33	1.588e-3	0.0110	(A) BLACK OR AFRICAN AMERICAN
EIF4EBP1_PT70	17q21	0.02	-0.09	0.28	0.23	0.11	1.601e-3	0.0110	(A) BLACK OR AFRICAN AMERICAN
PTPN11_PY542	5q21-q22	-0.01	0.12	0.33	0.38	-0.14	1.671e-3	0.0112	(B) WHITE
PREX1	20q13.13	0.60	0.92	0.78	0.88	-0.32	1.740e-3	0.0113	(B) WHITE
CHEK2_PT68	1p32-p31	0.10	0.00	0.25	0.31	0.10	2.181e-3	0.0138	(A) BLACK OR AFRICAN AMERICAN
PDK1_PS241	15q22.1-q22.33	0.06	0.19	0.34	0.36	-0.13	2.507e-3	0.0151	(B) WHITE
ARAF	Xp11.3	0.12	0.23	0.28	0.31	-0.11	2.520e-3	0.0151	(B) WHITE
PRKAA1	5p13.1	-0.30	-0.19	0.29	0.34	-0.11	3.189e-3	0.0185	(B) WHITE
KDR	4q12	0.24	0.42	0.46	0.50	-0.18	3.262e-3	0.0185	(B) WHITE
CASP3	4q35.1	-0.13	-0.26	0.31	0.43	0.12	3.691e-3	0.0204	(A) BLACK OR AFRICAN AMERICAN
TSC1	9q34.13	0.04	-0.07	0.27	0.34	0.10	3.955e-3	0.0214	(A) BLACK OR AFRICAN AMERICAN
MSH2	2p21-p16.3	-0.04	-0.18	0.39	0.38	0.14	4.824e-3	0.0255	(A) BLACK OR AFRICAN AMERICAN
RAD50	5q31.1	-0.29	-0.21	0.24	0.27	-0.09	4.975e-3	0.0257	(B) WHITE
DPP4	2q24.2	0.05	0.14	0.26	0.30	-0.09	5.300e-3	0.0267	(B) WHITE
NRAS	1p13.2	0.18	0.07	0.31	0.24	0.11	5.785e-3	0.0286	(A) BLACK OR AFRICAN AMERICAN
MRE11	11q21	0.25	0.18	0.21	0.23	0.07	6.415e-3	0.0309	(A) BLACK OR AFRICAN AMERICAN
