Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
RAD51	15q15.1	-0.87	-1.21	0.43	0.35	0.34	1.50e-14	3.05e-12	(A) Black or African American
TSC1	9q34.13	1.74	1.52	0.32	0.37	0.22	1.24e-10	1.08e-8	(A) Black or African American
EIF4EBP1_PT70	17q21	-0.24	-0.45	0.32	0.26	0.20	1.59e-10	1.08e-8	(A) Black or African American
ASNS	7q21.3	-0.53	-0.95	0.68	0.59	0.42	5.26e-10	2.63e-8	(A) Black or African American
DIRAS3	1p31.3	-3.00	-2.72	0.46	0.33	-0.28	6.48e-10	2.63e-8	(B) White
CDK1	10q21.2	0.24	0.08	0.26	0.27	0.16	1.54e-9	5.22e-8	(A) Black or African American
STMN1	1p36.11	0.02	-0.21	0.42	0.33	0.24	7.72e-9	2.24e-7	(A) Black or African American
ERBB3_PY1298	22q13.1	0.43	0.27	0.29	0.24	0.16	2.50e-8	6.34e-7	(A) Black or African American
PGR	11q22.1	-0.66	-0.51	0.26	0.32	-0.15	4.20e-8	9.46e-7	(B) White
INPP4B	4q31.21	-0.31	0.27	1.11	1.10	-0.58	1.34e-7	2.720e-6	(B) White
GATA3	10p14	1.37	1.94	1.18	1.07	-0.57	7.22e-7	1.333e-5	(B) White
ATM	11q22.3	2.35	1.99	0.77	0.63	0.36	9.11e-7	1.541e-5	(A) Black or African American
CASP7	10q25.3	-0.23	-0.64	0.88	0.68	0.40	1.657e-6	2.588e-5	(A) Black or African American
MYH9_PS1943	10q11.22	-1.01	-0.76	0.54	0.38	-0.25	1.997e-6	2.895e-5	(B) White
CDKN1A	6p21.2	0.33	0.51	0.40	0.32	-0.18	2.518e-6	3.407e-5	(B) White
LCK	1p35.2	0.55	0.29	0.59	0.50	0.27	3.067e-6	3.891e-5	(A) Black or African American
CDKN1B_PT198	Xp11.4-p11.2	0.11	0.00	0.23	0.19	0.10	3.460e-6	4.131e-5	(A) Black or African American
TIGAR	12p13.32	0.89	0.66	0.54	0.31	0.23	4.807e-6	5.421e-5	(A) Black or African American
MTOR_PS2448	8p11.1	-0.77	-0.63	0.31	0.23	-0.13	5.080e-6	5.427e-5	(B) White
NFKB1_PS536	16p11.2	0.45	0.07	0.86	0.69	0.38	5.390e-6	5.470e-5	(A) Black or African American
CLDN7	17p13.1	1.62	0.99	1.48	0.90	0.63	5.666e-6	5.477e-5	(A) Black or African American
FASN	17q25.3	0.80	1.48	1.56	1.23	-0.67	5.960e-6	5.500e-5	(B) White
CHEK2_PT68	1p32-p31	-0.67	-0.82	0.33	0.34	0.15	9.716e-6	8.576e-5	(A) Black or African American
CDH3	16q22.1	-1.27	-1.38	0.26	0.24	0.11	1.080e-5	9.139e-5	(A) Black or African American
RPS6_PS240_S244	5q21-q22	-1.13	-0.68	1.09	0.78	-0.45	1.356e-5	1.101e-4	(B) White
KDR	4q12	1.71	1.93	0.52	0.50	-0.22	1.558e-5	1.217e-4	(B) White
STK11	19p13.3	0.56	0.43	0.34	0.24	0.13	3.440e-5	2.586e-4	(A) Black or African American
RPS6KA1_PT359_S363	5q21-q22	-0.35	-0.48	0.32	0.30	0.13	3.811e-5	2.763e-4	(A) Black or African American
NF2	22q12.2	0.70	0.83	0.31	0.39	-0.13	4.394e-5	3.076e-4	(B) White
RAB25	1q22	-1.57	-1.29	0.71	0.59	-0.28	4.639e-5	3.139e-4	(B) White
