Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
RPS6KB1_PT389	6q21	-1.12	-1.54	0.53	0.51	0.42	3.520e-5	4.488e-3	(A) Black or African American
ERCC1	19q13.32	-0.65	-0.52	0.13	0.35	-0.13	4.444e-5	4.488e-3	(B) White
RAD51	15q15.1	-0.46	-0.87	0.64	0.51	0.41	4.175e-4	0.0281	(A) Black or African American
XBP1	22q12.1|22q12	-0.76	-1.04	0.46	0.43	0.28	7.637e-4	0.0352	(A) Black or African American
ASNS	7q21.3	-0.10	-0.56	0.76	0.75	0.46	9.823e-4	0.0352	(A) Black or African American
INPP4B	4q31.21	-0.88	-0.55	0.51	0.79	-0.33	1.045e-3	0.0352	(B) White
IRS1	2q36.3	-0.33	-0.47	0.24	0.31	0.14	1.763e-3	0.0486	(A) Black or African American
TIGAR	12p13.32	0.55	0.69	0.24	0.40	-0.15	1.927e-3	0.0486	(B) White
ATM	11q22.3	2.10	1.75	0.64	0.54	0.35	2.322e-3	0.0493	(A) Black or African American
NOTCH1	9q34.3	-0.66	-0.79	0.24	0.26	0.13	2.440e-3	0.0493	(A) Black or African American
PRKAA1	5p13.1	0.88	1.01	0.22	0.32	-0.12	3.202e-3	0.0588	(B) White
MYH11	16p13.11	0.26	0.91	1.24	1.25	-0.65	3.799e-3	0.0640	(B) White
PREX1	20q13.13	-0.73	-1.02	0.56	0.49	0.28	4.719e-3	0.0657	(A) Black or African American
CHEK1_PS345	5p12	-0.57	-0.51	0.11	0.15	-0.06	4.817e-3	0.0657	(B) White
PEA15_PS116	1p36.2	-0.91	-1.22	0.58	0.83	0.31	5.439e-3	0.0657	(A) Black or African American
CDKN1A	6p21.2	0.09	0.25	0.33	0.34	-0.16	5.891e-3	0.0657	(B) White
MAPK14_PT180_Y182	5q21-q22	0.59	0.89	0.62	0.54	-0.31	6.109e-3	0.0657	(B) White
BID	22q11.21	0.61	0.50	0.23	0.23	0.11	6.163e-3	0.0657	(A) Black or African American
PIK3CA	3q26.32	-0.60	-0.76	0.32	0.29	0.16	6.182e-3	0.0657	(A) Black or African American
CHEK2_PT68	1p32-p31	-0.51	-0.66	0.30	0.35	0.15	7.254e-3	0.0733	(A) Black or African American
MRE11	11q21	0.14	0.06	0.17	0.18	0.08	8.987e-3	0.0803	(A) Black or African American
ESR1	6q25.1-q25.2	-1.57	-1.75	0.37	0.45	0.18	9.239e-3	0.0803	(A) Black or African American
BAX	19q13.33	1.20	1.35	0.32	0.40	-0.15	9.823e-3	0.0803	(B) White
EGFR_PY1068	7q31	-1.75	-1.56	0.38	0.66	-0.20	0.0104	0.0803	(B) White
FOXM1	12p13.33	-0.70	-0.89	0.42	0.43	0.19	0.0104	0.0803	(A) Black or African American
PGR	11q22.1	-0.84	-0.94	0.21	0.20	0.10	0.0104	0.0803	(A) Black or African American
ACVRL1	12q13.13	-0.60	-0.70	0.22	0.22	0.10	0.0107	0.0803	(A) Black or African American
TP53	17p13.1	-1.71	-1.99	0.63	0.60	0.29	0.0115	0.0827	(A) Black or African American
SRSF1	17q22	-1.73	-1.84	0.24	0.23	0.10	0.0151	0.102	(A) Black or African American
STMN1	1p36.11	-0.13	-0.26	0.29	0.26	0.13	0.0151	0.102	(A) Black or African American
DVL3	3q27.1	0.36	0.50	0.31	0.33	-0.13	0.0161	0.104	(B) White
ETS1	11q24.3	0.33	0.09	0.56	0.56	0.24	0.0165	0.104	(A) Black or African American
CDH3	16q22.1	-1.43	-1.49	0.14	0.20	0.06	0.0197	0.120	(A) Black or African American
EGFR_PY1173	3p25	0.45	0.55	0.24	0.28	-0.10	0.0212	0.124	(B) White
