Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
AKT1_PS473	8p11.1	-0.49	0.20	0.57	0.80	-0.69	3.888e-4	0.0258	(B) WHITE
AKT2_PS473	8p11.1	-0.49	0.20	0.57	0.80	-0.69	3.888e-4	0.0258	(B) WHITE
AKT3_PS473	8p11.1	-0.49	0.20	0.57	0.80	-0.69	3.888e-4	0.0258	(B) WHITE
RPS6KB1_PT389	6q21	-0.14	0.20	0.27	0.64	-0.33	7.164e-4	0.0356	(B) WHITE
PDK1	2q31.1	0.17	-0.03	0.19	0.17	0.21	1.096e-3	0.0359	(A) BLACK OR AFRICAN AMERICAN
AKT1_PT308	8p11.1	-0.40	0.09	0.46	0.69	-0.49	1.444e-3	0.0359	(B) WHITE
AKT2_PT308	8p11.1	-0.40	0.09	0.46	0.69	-0.49	1.444e-3	0.0359	(B) WHITE
AKT3_PT308	8p11.1	-0.40	0.09	0.46	0.69	-0.49	1.444e-3	0.0359	(B) WHITE
MYH11	16p13.11	-0.54	0.00	0.53	0.66	-0.55	1.628e-3	0.0360	(B) WHITE
RPS6	9p22.1	0.14	-0.05	0.18	0.34	0.19	2.393e-3	0.0453	(A) BLACK OR AFRICAN AMERICAN
SMAD4	18q21.2	-0.07	0.02	0.09	0.18	-0.09	2.503e-3	0.0453	(B) WHITE
ERBB2_PY1248	6q25.1	-0.09	0.05	0.15	0.17	-0.13	3.637e-3	0.0570	(B) WHITE
MTOR_PS2448	8p11.1	-0.19	-0.01	0.19	0.20	-0.18	3.722e-3	0.0570	(B) WHITE
RICTOR	5p13.1	-0.86	-0.09	0.87	0.80	-0.78	4.242e-3	0.0603	(B) WHITE
MAPK1_PT202_Y204	5q21-q22	-0.42	0.16	0.69	0.81	-0.58	7.000e-3	0.0834	(B) WHITE
MAPK3_PT202_Y204	5q21-q22	-0.42	0.16	0.69	0.81	-0.58	7.000e-3	0.0834	(B) WHITE
BIRC2	11q22.2	0.21	0.01	0.25	0.20	0.20	7.470e-3	0.0834	(A) BLACK OR AFRICAN AMERICAN
TSC2_PT1462	1q21	-0.20	0.04	0.30	0.30	-0.25	7.850e-3	0.0834	(B) WHITE
SRC_PY527	9p21	-0.42	0.07	0.60	0.63	-0.49	7.960e-3	0.0834	(B) WHITE
MRE11	11q21	0.09	-0.02	0.13	0.11	0.11	8.936e-3	0.0879	(A) BLACK OR AFRICAN AMERICAN
ERBB2	17q12	-0.22	0.09	0.38	0.57	-0.31	9.465e-3	0.0879	(B) WHITE
SRC_PY416	9p21	-0.21	0.06	0.33	0.34	-0.26	9.714e-3	0.0879	(B) WHITE
BID	22q11.21	0.14	0.02	0.16	0.14	0.12	0.0127	0.110	(A) BLACK OR AFRICAN AMERICAN
PDK1_PS241	15q22.1-q22.33	0.17	-0.01	0.25	0.20	0.18	0.0135	0.112	(A) BLACK OR AFRICAN AMERICAN
BRCA2	13q13.1	0.07	-0.02	0.13	0.14	0.09	0.0144	0.115	(A) BLACK OR AFRICAN AMERICAN
RPS6KB1	17q23.1	0.12	-0.02	0.19	0.27	0.14	0.0181	0.139	(A) BLACK OR AFRICAN AMERICAN
MET_PY1235	11q13	0.04	-0.01	0.07	0.08	0.05	0.0199	0.147	(A) BLACK OR AFRICAN AMERICAN
EEF2	19p13.3	0.18	0.00	0.26	0.25	0.18	0.0221	0.157	(A) BLACK OR AFRICAN AMERICAN
TP53	17p13.1	0.08	-0.06	0.21	0.17	0.14	0.0236	0.162	(A) BLACK OR AFRICAN AMERICAN
JUN_PS73	17q21.31	-0.05	0.06	0.15	0.21	-0.10	0.0281	0.167	(B) WHITE
RPS6KA1_PT359_S363	5q21-q22	-0.10	0.03	0.20	0.23	-0.13	0.0282	0.167	(B) WHITE
GSK3A_PS9	8p11.1	-0.41	0.02	0.68	0.48	-0.43	0.0299	0.167	(B) WHITE
