Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
PRDX1	1p34.1	-1.73	-1.58	0.19	0.30	-0.15	4.762e-6	9.809e-4	(B) White
PARK7	1p36.23	0.54	0.68	0.22	0.34	-0.13	2.251e-4	0.0232	(B) White
AR	Xq12	-0.68	-0.85	0.34	0.38	0.17	7.841e-4	0.0504	(A) Asian
CHEK1	11q24.2	-0.16	-0.32	0.33	0.38	0.16	1.296e-3	0.0504	(A) Asian
SMAD3	15q22.33	0.63	0.74	0.23	0.32	-0.12	1.321e-3	0.0504	(B) White
ERRFI1	1p36.23	-0.17	-0.09	0.16	0.21	-0.08	1.467e-3	0.0504	(B) White
PECAM1	17q23.3	-1.27	-1.21	0.16	0.20	-0.07	7.649e-3	0.225	(B) White
SRC	20q11.23	-0.18	-0.34	0.42	0.41	0.16	9.960e-3	0.240	(A) Asian
PRKCB_PS660	5q21-q22	1.27	1.10	0.44	0.58	0.17	0.0118	0.240	(A) Asian
RAF1	3p25.2	0.90	0.83	0.18	0.20	0.07	0.0120	0.240	(A) Asian
EEF2K	16p12.2	-0.23	-0.47	0.67	0.67	0.24	0.0128	0.240	(A) Asian
ATM	11q22.3	1.91	1.71	0.59	0.61	0.21	0.0167	0.268	(A) Asian
SMAD4	18q21.2	-1.29	-1.22	0.20	0.24	-0.07	0.0195	0.268	(B) White
CAV1	7q31.2	2.02	2.39	1.14	1.01	-0.37	0.0206	0.268	(B) White
GAPDH	12p13.31	0.82	1.10	0.86	0.75	-0.28	0.0207	0.268	(B) White
SRC_PY416	9p21	-0.13	0.01	0.39	0.53	-0.14	0.0208	0.268	(B) White
YWHAE	17p13.3	-0.88	-0.81	0.19	0.21	-0.06	0.0241	0.282	(B) White
EIF4EBP1	8p11.23	0.25	0.41	0.51	0.47	-0.16	0.0247	0.282	(B) White
ITGA2	5q11.2	-0.42	-0.27	0.45	0.51	-0.15	0.0271	0.294	(B) White
CDKN1B_PT157	8p12	-0.16	-0.21	0.16	0.14	0.05	0.0321	0.303	(A) Asian
CHEK1_PS345	5p12	-0.39	-0.47	0.28	0.33	0.09	0.0322	0.303	(A) Asian
KDR	4q12	1.30	1.46	0.51	0.46	-0.15	0.0324	0.303	(B) White
XBP1	22q12.1|22q12	-0.94	-0.81	0.40	0.48	-0.13	0.0341	0.306	(B) White
ERBB2_PY1248	6q25.1	-0.08	-0.31	0.83	0.37	0.23	0.0357	0.306	(A) Asian
DIABLO	12q24.31	0.42	0.66	0.79	0.83	-0.23	0.0412	0.340	(B) White
TSC2_PT1462	1q21	-0.80	-0.74	0.22	0.22	-0.06	0.0459	0.354	(B) White
EIF4E	4q23	0.33	0.41	0.29	0.35	-0.09	0.0473	0.354	(B) White
RPS6KA1	1p36.11	-0.15	-0.28	0.44	0.38	0.12	0.0482	0.354	(A) Asian
ERBB2	17q12	0.66	0.35	1.18	0.79	0.31	0.0516	0.354	(A) Asian
TSC2	16p13.3	1.11	1.00	0.39	0.47	0.11	0.0518	0.354	(A) Asian
GAB2	11q14.1	0.73	0.57	0.61	0.53	0.17	0.0532	0.354	(A) Asian
PXN	12q24.23	0.07	-0.11	0.63	0.79	0.18	0.0572	0.359	(A) Asian
CCNE2	8q22.1	1.11	1.02	0.32	0.35	0.09	0.0575	0.359	(A) Asian
CDKN1A	6p21.2	0.41	0.29	0.43	0.52	0.12	0.0621	0.376	(A) Asian
RPTOR	17q25.3	1.10	1.15	0.19	0.25	-0.05	0.0647	0.378	(B) White
ANXA1	9q21.13	-0.12	0.05	0.60	0.71	-0.16	0.0661	0.378	(B) White
YAP1_PS127	20q12-q13	1.67	1.83	0.60	0.56	-0.15	0.0692	0.385	(B) White
FOXO3_PS318_S321	5q21-q22	-1.30	-1.25	0.19	0.22	-0.05	0.0779	0.417	(B) White
SQSTM1	5q35.3	0.03	0.18	0.62	0.63	-0.16	0.0815	0.417	(B) White
GATA3	10p14	-0.26	-0.32	0.24	0.21	0.06	0.0818	0.417	(A) Asian
CTNNA1	5q31.2	1.24	1.40	0.60	0.84	-0.16	0.0830	0.417	(B) White
CHEK2	22q12.1	-0.18	-0.06	0.52	0.47	-0.12	0.0885	0.434	(B) White
MTOR	1p36.22	0.98	0.91	0.28	0.29	0.07	0.0965	0.462	(A) Asian
KIT	4q12	0.04	0.15	0.46	0.46	-0.11	0.100	0.466	(B) White
PGR	11q22.1	-0.68	-0.62	0.25	0.22	-0.06	0.102	0.466	(B) White
PTEN	10q23.31	0.33	0.15	0.82	0.70	0.19	0.104	0.466	(A) Asian
RPS6_PS240_S244	5q21-q22	-0.54	-0.69	0.65	0.65	0.15	0.107	0.468	(A) Asian
HSPA1A	6p21.33	0.96	0.77	0.82	0.93	0.19	0.117	0.501	(A) Asian
EIF4EBP1_PT70	17q21	-0.37	-0.32	0.22	0.20	-0.05	0.129	0.543	(B) White
PDK1_PS241	15q22.1-q22.33	0.48	0.55	0.31	0.37	-0.07	0.139	0.573	(B) White
BID	22q11.21	0.55	0.49	0.26	0.22	0.05	0.143	0.573	(A) Asian
STK11	19p13.3	0.57	0.63	0.34	0.29	-0.07	0.145	0.573	(B) White
BAD_PS112	19q13.1-q13.2	-0.02	-0.09	0.33	0.32	0.07	0.147	0.573	(A) Asian
EGFR_PY1173	3p25	0.19	0.25	0.32	0.31	-0.06	0.151	0.577	(B) White
PRKCD_PS664	12p13.1-p12	-0.31	-0.36	0.22	0.23	0.04	0.155	0.579	(A) Asian
STAT5A	17q21.2	1.67	1.52	0.76	0.86	0.15	0.170	0.624	(A) Asian
RAD51	15q15.1	-0.28	-0.16	0.66	0.54	-0.12	0.174	0.624	(B) White
BRAF	7q34	0.74	0.63	0.55	0.61	0.11	0.178	0.624	(A) Asian
MAPK14	6p21.31	0.34	0.28	0.28	0.29	0.05	0.182	0.624	(A) Asian
CDH2	18q12.1	0.12	0.04	0.44	0.48	0.09	0.190	0.624	(A) Asian
SHC1_PY317	13q14.2	-2.29	-2.35	0.37	0.30	0.07	0.192	0.624	(A) Asian
EGFR_PY1068	7q31	-1.84	-1.95	0.62	0.52	0.11	0.195	0.624	(A) Asian
SCD	10q24.31	-1.64	-1.57	0.33	0.51	-0.07	0.198	0.624	(B) White
MET_PY1235	11q13	0.22	0.25	0.14	0.16	-0.03	0.204	0.624	(B) White
NDRG1_PT346	22q11.21	-1.01	-0.89	0.64	0.73	-0.12	0.208	0.624	(B) White
ESR1_PS118	11q24.2	-0.28	-0.25	0.11	0.16	-0.02	0.209	0.624	(B) White
PEA15	1q23.2	0.85	0.91	0.34	0.32	-0.06	0.209	0.624	(B) White
EIF4G1	3q27.1	-0.46	-0.57	0.62	0.70	0.11	0.215	0.624	(A) Asian
FN1	2q35	0.12	0.25	0.69	0.75	-0.12	0.216	0.624	(B) White
CTNNB1	3p22.1	1.96	1.73	1.31	1.17	0.23	0.216	0.624	(A) Asian
PCNA	20p12.3	-0.99	-0.91	0.46	0.48	-0.08	0.218	0.624	(B) White
CCNB1	5q13.2	0.69	0.85	0.91	0.83	-0.16	0.218	0.624	(B) White
NOTCH1	9q34.3	-0.49	-0.54	0.29	0.26	0.05	0.223	0.630	(A) Asian
BCL2L1	20q11.21	-0.26	-0.31	0.28	0.27	0.05	0.236	0.658	(A) Asian
CDH1	16q22.1	0.39	0.21	1.14	1.08	0.19	0.241	0.662	(A) Asian
COL6A1	21q22.3	0.55	0.60	0.34	0.39	-0.06	0.247	0.669	(B) White
G6PD	Xq28	-1.11	-1.03	0.49	0.54	-0.08	0.251	0.671	(B) White
GSK3A_PS21_S9	5q21-q22	0.74	0.82	0.49	0.55	-0.08	0.257	0.671	(B) White
GSK3B_PS21_S9	5q21-q22	0.74	0.82	0.49	0.55	-0.08	0.257	0.671	(B) White
RAB11A	15q22.31	-0.43	-0.48	0.26	0.27	0.04	0.267	0.678	(A) Asian
RAB11B	19p13.2	-0.43	-0.48	0.26	0.27	0.04	0.267	0.678	(A) Asian
ANXA7	10q22.2	-0.74	-0.71	0.20	0.25	-0.03	0.273	0.687	(B) White
TSC1	9q34.13	1.69	1.64	0.34	0.36	0.05	0.283	0.690	(A) Asian
TP53BP1	15q15.3	1.07	0.98	0.59	0.54	0.09	0.284	0.690	(A) Asian
RAF1_PS338	1q44	0.24	0.20	0.27	0.22	0.04	0.285	0.690	(A) Asian
RAD50	5q31.1	0.56	0.47	0.64	0.54	0.09	0.290	0.694	(A) Asian
MSH6	2p16.3	-0.14	-0.21	0.48	0.51	0.07	0.296	0.701	(A) Asian
IRS1	2q36.3	-0.40	-0.44	0.32	0.31	0.05	0.306	0.711	(A) Asian
MAP2K1_PS217_S221	5q21-q22	-0.48	-0.42	0.35	0.40	-0.05	0.310	0.711	(B) White
GSK3A	19q13.2	0.68	0.72	0.27	0.25	-0.04	0.315	0.711	(B) White
GSK3B	3q13.33	0.68	0.72	0.27	0.25	-0.04	0.315	0.711	(B) White
BECN1	17q21.31	-0.48	-0.51	0.24	0.20	0.03	0.318	0.711	(A) Asian
ERCC1	19q13.32	-0.01	-0.13	0.84	0.86	0.12	0.326	0.715	(A) Asian
AKT1S1_PT246	17q23.1	-0.06	-0.03	0.17	0.19	-0.02	0.327	0.715	(B) White
INPP4B	4q31.21	-0.40	-0.48	0.55	0.61	0.08	0.330	0.715	(A) Asian
RPS6KA1_PT359_S363	5q21-q22	-0.58	-0.64	0.46	0.38	0.06	0.333	0.715	(A) Asian
SRSF1	17q22	-1.78	-1.73	0.39	0.30	-0.05	0.342	0.721	(B) White
MS4A1	11q12.2	0.28	0.20	0.61	0.48	0.08	0.344	0.721	(A) Asian
RPS6KB1	17q23.1	0.22	0.17	0.39	0.38	0.05	0.348	0.721	(A) Asian
NFKB1_PS536	16p11.2	-0.25	-0.34	0.68	0.75	0.09	0.353	0.721	(A) Asian
PRKAA1	5p13.1	0.93	0.90	0.26	0.26	0.03	0.353	0.721	(A) Asian
MTOR_PS2448	8p11.1	-0.53	-0.55	0.17	0.23	0.02	0.370	0.747	(A) Asian
RICTOR_PT1135	2q31.1	0.02	0.05	0.25	0.28	-0.03	0.392	0.784	(B) White
EIF4EBP1_PS65	8p12	0.16	0.21	0.42	0.40	-0.05	0.406	0.803	(B) White
BAK1	6p21.31	0.67	0.63	0.35	0.31	0.04	0.414	0.803	(A) Asian
STAT3_PY705	19q13.33	0.20	0.16	0.31	0.33	0.04	0.419	0.803	(A) Asian
MAPK8_PT183_Y185		-0.33	-0.35	0.21	0.20	0.02	0.432	0.803	(A) Asian
ARAF_PS299	12q24.11	-1.44	-1.46	0.17	0.12	0.02	0.441	0.803	(A) Asian
AKT1_PT308	8p11.1	-0.20	-0.16	0.39	0.40	-0.04	0.454	0.803	(B) White
AKT2_PT308	8p11.1	-0.20	-0.16	0.39	0.40	-0.04	0.454	0.803	(B) White
AKT3_PT308	8p11.1	-0.20	-0.16	0.39	0.40	-0.04	0.454	0.803	(B) White
PIK3CA	3q26.32	-0.48	-0.52	0.37	0.38	0.04	0.461	0.803	(A) Asian
VHL	3p25.3	0.89	0.76	1.26	1.44	0.14	0.465	0.803	(A) Asian
BCL2	18q21.33	-0.81	-0.78	0.32	0.34	-0.03	0.471	0.803	(B) White
AKT1_PS473	8p11.1	-1.00	-0.94	0.53	0.57	-0.06	0.473	0.803	(B) White
AKT2_PS473	8p11.1	-1.00	-0.94	0.53	0.57	-0.06	0.473	0.803	(B) White
AKT3_PS473	8p11.1	-1.00	-0.94	0.53	0.57	-0.06	0.473	0.803	(B) White
CHEK2_PT68	1p32-p31	-0.66	-0.64	0.25	0.27	-0.03	0.476	0.803	(B) White
SRC_PY527	9p21	-0.39	-0.46	0.68	0.73	0.07	0.477	0.803	(A) Asian
NKX2-1	14q13.3	-0.45	-0.39	0.64	0.82	-0.07	0.480	0.803	(B) White
MAPK14_PT180_Y182	5q21-q22	0.42	0.36	0.53	0.60	0.06	0.480	0.803	(A) Asian
MYC	8q24.21	0.58	0.64	0.60	0.49	-0.06	0.483	0.803	(B) White
IGFBP2	2q35	0.59	0.67	0.77	0.89	-0.08	0.488	0.803	(B) White
YBX1_PS102	20q12-q13	-0.09	-0.11	0.22	0.22	0.02	0.490	0.803	(A) Asian
SMAD1	4q31.21	-0.32	-0.37	0.48	0.51	0.05	0.493	0.803	(A) Asian
FOXO3	6q21	-0.50	-0.53	0.23	0.22	0.02	0.494	0.803	(A) Asian
JUN_PS73	17q21.31	-0.96	-0.93	0.25	0.25	-0.02	0.498	0.803	(B) White
PDCD4	10q25.2	1.00	0.95	0.50	0.54	0.05	0.499	0.803	(A) Asian
MYH9_PS1943	10q11.22	-0.52	-0.47	0.64	0.63	-0.06	0.520	0.831	(B) White
DVL3	3q27.1	0.51	0.48	0.32	0.32	0.03	0.528	0.836	(A) Asian
XRCC1	19q13.31	-0.02	0.00	0.29	0.31	-0.03	0.547	0.860	(B) White
CDH3	16q22.1	-1.47	-1.45	0.18	0.26	-0.02	0.557	0.865	(B) White
PDK1	2q31.1	-0.31	-0.36	0.65	0.34	0.05	0.562	0.865	(A) Asian
MSH2	2p21-p16.3	-0.93	-0.90	0.37	0.46	-0.03	0.570	0.865	(B) White
ACACA_PS79	3q13.3	-0.34	-0.39	0.64	0.66	0.05	0.571	0.865	(A) Asian
ACACB_PS79	8p11.1	-0.34	-0.39	0.64	0.66	0.05	0.571	0.865	(A) Asian
NF2	22q12.2	0.92	0.89	0.36	0.42	0.03	0.585	0.879	(A) Asian
RPS6_PS235_S236	5q21-q22	-1.05	-1.09	0.59	0.65	0.05	0.599	0.885	(A) Asian
FOXM1	12p13.33	-0.71	-0.75	0.51	0.47	0.04	0.613	0.885	(A) Asian
EGFR	7p11.2	-0.09	-0.13	0.44	0.43	0.03	0.617	0.885	(A) Asian
