Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CDH2	18q12.1	0.45	0.26	0.30	0.31	0.19	5.045e-4	0.102	(A) Asian
SERPINE1	7q22.1	-2.77	-2.55	0.35	0.51	-0.22	1.102e-3	0.112	(B) White
BID	22q11.21	0.79	0.65	0.24	0.19	0.13	1.842e-3	0.122	(A) Asian
RICTOR	5p13.1	-0.15	0.07	0.38	0.54	-0.22	2.399e-3	0.122	(B) White
FOXO3_PS318_S321	5q21-q22	-1.29	-1.35	0.11	0.10	0.06	3.204e-3	0.130	(A) Asian
TSC2	16p13.3	0.87	1.01	0.27	0.27	-0.14	4.987e-3	0.169	(B) White
PEA15	1q23.2	0.87	0.73	0.27	0.35	0.13	7.114e-3	0.183	(A) Asian
BAX	19q13.33	1.34	1.19	0.31	0.36	0.15	7.221e-3	0.183	(A) Asian
HSPA1A	6p21.33	1.58	1.17	0.88	0.83	0.41	8.874e-3	0.200	(A) Asian
YAP1	11q22.1	0.79	0.64	0.32	0.26	0.14	0.0118	0.239	(A) Asian
MAP2K1_PS217_S221	5q21-q22	-0.08	-0.20	0.28	0.29	0.12	0.0131	0.241	(A) Asian
CHEK1_PS345	5p12	-0.20	-0.28	0.17	0.15	0.07	0.0142	0.241	(A) Asian
INPP4B	4q31.21	-1.05	-0.90	0.34	0.34	-0.15	0.0155	0.242	(B) White
ERBB3_PY1298	22q13.1	0.49	0.44	0.13	0.12	0.05	0.0180	0.261	(A) Asian
MRE11	11q21	0.30	0.22	0.20	0.17	0.08	0.0216	0.291	(A) Asian
JUN_PS73	17q21.31	-0.62	-0.68	0.15	0.17	0.06	0.0244	0.291	(A) Asian
TUBA1B	12q13.12	1.72	1.48	0.62	0.62	0.24	0.0270	0.291	(A) Asian
RAF1_PS338	1q44	0.50	0.40	0.26	0.25	0.10	0.0278	0.291	(A) Asian
BAP1	3p21.1	-1.39	-1.30	0.25	0.21	-0.09	0.0285	0.291	(B) White
EEF2	19p13.3	0.84	0.68	0.40	0.42	0.16	0.0287	0.291	(A) Asian
