Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
TUBB8	10p15.3	2.65	1.25	0.87	0.80	1.40	1.02e-16	2.06e-12	(A) Black or African American
PWWP2B	10q26.3	7.75	6.93	0.58	0.79	0.82	3.91e-14	3.94e-10	(A) Black or African American
ANKRD9	14q32.31	6.59	5.33	0.98	1.12	1.27	1.22e-12	8.21e-9	(A) Black or African American
CANX	5q35.3	14.27	14.75	0.37	0.57	-0.48	4.10e-12	1.81e-8	(B) White
LLGL2	17q25.1	9.94	9.22	0.55	0.97	0.72	4.49e-12	1.81e-8	(A) Black or African American
CROCCP2	1p36.13	8.86	7.90	0.78	0.95	0.96	8.87e-12	2.98e-8	(A) Black or African American
FBRSL1	12q24.33	9.11	8.57	0.45	0.63	0.54	1.80e-11	5.19e-8	(A) Black or African American
CUTALP	9q33.2	8.98	8.08	0.77	0.91	0.90	4.20e-11	1.06e-7	(A) Black or African American
DDX51	12q24.33	9.25	8.83	0.36	0.58	0.43	7.54e-11	1.34e-7	(A) Black or African American
TUBBP5	9q34.3	4.20	2.39	1.59	1.93	1.81	9.43e-11	1.34e-7	(A) Black or African American
NUTM2A	10q23.2	5.22	4.54	0.59	0.79	0.68	9.83e-11	1.34e-7	(A) Black or African American
MIGA2	9q34.11	8.68	8.03	0.56	0.77	0.65	9.91e-11	1.34e-7	(A) Black or African American
GGA1	22q13.1	10.21	9.80	0.35	0.53	0.41	1.01e-10	1.34e-7	(A) Black or African American
YIPF5	5q31.3	10.03	10.48	0.39	0.52	-0.45	1.03e-10	1.34e-7	(B) White
SCRIB	8q24.3	10.05	9.51	0.46	0.75	0.54	1.04e-10	1.34e-7	(A) Black or African American
ARMC5	16p11.2	8.63	8.14	0.42	0.65	0.49	1.10e-10	1.34e-7	(A) Black or African American
ARRDC1	9q34.3	9.24	8.66	0.50	0.75	0.58	1.13e-10	1.34e-7	(A) Black or African American
MTMR2	11q21	9.93	10.31	0.33	0.40	-0.37	1.21e-10	1.36e-7	(B) White
SURF6	9q34.2	9.39	9.01	0.34	0.43	0.38	1.41e-10	1.44e-7	(A) Black or African American
SLC25A29	14q32.2	9.17	8.15	0.91	0.94	1.02	1.42e-10	1.44e-7	(A) Black or African American
AXIN1	16p13.3	9.56	9.15	0.35	0.55	0.41	1.61e-10	1.54e-7	(A) Black or African American
ARCN1	11q23.3	11.68	12.01	0.30	0.36	-0.33	1.83e-10	1.67e-7	(B) White
ANO6	12q12	11.68	12.23	0.49	0.58	-0.55	2.02e-10	1.77e-7	(B) White
NACA2	17q23.2	6.48	5.20	1.18	0.88	1.27	2.98e-10	2.51e-7	(A) Black or African American
NXT2	Xq23	7.84	8.30	0.43	0.52	-0.46	4.37e-10	3.53e-7	(B) White
FAM160B2	8p21.3	9.93	9.43	0.46	0.61	0.50	4.89e-10	3.79e-7	(A) Black or African American
GSTM1	1p13.3	8.62	5.88	2.44	3.91	2.74	5.57e-10	4.07e-7	(A) Black or African American
ATL3	11q13.1	8.49	9.13	0.61	0.54	-0.64	5.65e-10	4.07e-7	(B) White
GDI2	10p15.1	12.15	12.49	0.31	0.44	-0.34	7.42e-10	5.04e-7	(B) White
WDR6	3p21.31	11.40	10.90	0.47	0.61	0.51	7.57e-10	5.04e-7	(A) Black or African American
SNAPC4	9q34.3	8.24	7.77	0.43	0.67	0.47	7.75e-10	5.04e-7	(A) Black or African American
PRRC1	5q23.2	10.54	10.90	0.33	0.42	-0.35	8.43e-10	5.32e-7	(B) White
CFAP410	21q22.3	9.28	8.77	0.46	0.70	0.50	9.86e-10	5.99e-7	(A) Black or African American
NICN1	3p21.31	8.47	8.01	0.42	0.58	0.46	1.01e-9	5.99e-7	(A) Black or African American
POLR2J3	7q22.1	10.13	9.43	0.66	0.85	0.70	1.07e-9	6.16e-7	(A) Black or African American
CAPN10	2q37.3	8.50	7.85	0.61	0.77	0.65	1.10e-9	6.19e-7	(A) Black or African American
FAM41C	1p36.33	3.90	3.29	0.58	0.72	0.61	1.18e-9	6.42e-7	(A) Black or African American
SDR39U1	14q12	9.47	8.81	0.64	0.71	0.67	1.61e-9	8.31e-7	(A) Black or African American
ZNF707	8q24.3	7.39	6.94	0.42	0.59	0.45	1.65e-9	8.31e-7	(A) Black or African American
DOK7	4p16.3	4.30	2.73	1.52	1.58	1.57	1.68e-9	8.31e-7	(A) Black or African American
PPP1CC	12q24.11	11.24	11.55	0.29	0.37	-0.31	1.70e-9	8.31e-7	(B) White
ZSCAN18	19q13.43	10.53	9.89	0.60	0.88	0.64	1.75e-9	8.31e-7	(A) Black or African American
ZNF497	19q13.43	5.91	5.25	0.64	0.74	0.66	1.77e-9	8.31e-7	(A) Black or African American
ADAMTS13	9q34.2	6.08	5.07	0.97	1.25	1.01	1.83e-9	8.32e-7	(A) Black or African American
TMEM80	11p15.5	8.39	7.85	0.52	0.61	0.54	1.89e-9	8.32e-7	(A) Black or African American
LRRC14	8q24.3	9.37	8.95	0.40	0.56	0.42	1.90e-9	8.32e-7	(A) Black or African American
SHC2	19p13.3	9.28	8.26	0.99	1.22	1.02	1.97e-9	8.44e-7	(A) Black or African American
CUL4B	Xq24	10.64	11.00	0.35	0.43	-0.37	2.16e-9	9.08e-7	(B) White
FAM114A1	4p14	8.10	8.92	0.82	0.69	-0.83	2.32e-9	9.55e-7	(B) White
