Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CRYBB2	22q11.23	2.20	0.96	1.10	0.83	1.24	9.64e-11	1.939e-6	(A) Black or African American
POLR2J3	7q22.1	10.49	9.58	0.94	0.92	0.91	1.14e-8	1.149e-4	(A) Black or African American
NOTCH2NLA	1q21.1	9.82	8.98	0.91	0.80	0.84	2.76e-8	1.536e-4	(A) Black or African American
ULK4	3p22.1	6.41	5.52	0.97	0.86	0.89	3.05e-8	1.536e-4	(A) Black or African American
LINC01634	22q11.21	2.03	0.92	1.23	1.20	1.10	6.48e-8	2.606e-4	(A) Black or African American
ATP6V0E2	7q36.1	10.14	9.49	0.75	0.88	0.65	2.27e-7	7.614e-4	(A) Black or African American
SPDYE2	7q22.1	1.89	0.99	1.07	0.87	0.90	2.72e-7	7.818e-4	(A) Black or African American
CEACAM8	19q13.2	0.65	1.56	1.02	2.02	-0.92	7.37e-7	1.498e-3	(B) White
PAXIP1-AS1	7q36.2	8.01	7.40	0.75	0.80	0.61	8.55e-7	1.498e-3	(A) Black or African American
POLR2J4	7p13	8.41	7.88	0.66	0.54	0.53	8.92e-7	1.498e-3	(A) Black or African American
B4GALNT4	11p15.5	7.72	5.96	2.15	2.66	1.75	8.94e-7	1.498e-3	(A) Black or African American
C17ORF97	17p13.3	7.04	6.25	0.98	1.12	0.79	9.93e-7	1.537e-3	(A) Black or African American
SPDYE6	7q22.1	5.65	4.96	0.87	0.99	0.69	1.403e-6	2.016e-3	(A) Black or African American
FLJ37453	1p36.21	6.72	6.17	0.70	0.76	0.55	1.765e-6	2.367e-3	(A) Black or African American
TTC12	11q23.2	7.95	7.41	0.69	0.80	0.54	1.895e-6	2.383e-3	(A) Black or African American
C6ORF62	6p22.3	11.56	11.86	0.39	0.40	-0.29	2.447e-6	2.896e-3	(B) White
RPS26	12q13.2	9.67	8.97	0.92	0.94	0.70	2.669e-6	2.984e-3	(A) Black or African American
SNHG17	20q11.23	9.02	8.39	0.85	0.75	0.63	3.258e-6	3.451e-3	(A) Black or African American
RNF8	6p21.2	8.41	8.64	0.30	0.42	-0.23	3.561e-6	3.582e-3	(B) White
NSUN5P1	7q11.23	7.89	7.03	1.16	1.22	0.86	4.689e-6	4.247e-3	(A) Black or African American
IZUMO1	19q13.33	1.41	0.62	1.09	0.72	0.79	4.717e-6	4.247e-3	(A) Black or African American
TUBB8	10p15.3	4.29	3.44	1.17	0.95	0.85	4.855e-6	4.247e-3	(A) Black or African American
LRWD1	7q22.1	9.16	8.68	0.66	0.63	0.48	5.113e-6	4.263e-3	(A) Black or African American
DDX51	12q24.33	9.20	8.79	0.57	0.56	0.41	5.345e-6	4.263e-3	(A) Black or African American
ARIH2OS	3p21.31	5.05	4.57	0.65	0.66	0.47	5.509e-6	4.263e-3	(A) Black or African American
SLC35A5	3q13.2	8.97	9.36	0.55	0.48	-0.39	6.618e-6	4.932e-3	(B) White
SCAMP5	15q24.2	8.99	8.19	1.13	0.92	0.80	7.289e-6	5.063e-3	(A) Black or African American
LRRIQ3	1p31.1	3.75	2.88	1.21	1.23	0.87	7.297e-6	5.063e-3	(A) Black or African American
ODF2	9q34.11	9.98	9.63	0.48	0.53	0.35	7.856e-6	5.091e-3	(A) Black or African American
ZNF207	17q11.2	11.49	11.65	0.23	0.29	-0.17	8.309e-6	5.091e-3	(B) White
PJVK	2q31.2	4.57	3.87	0.97	1.01	0.70	8.730e-6	5.091e-3	(A) Black or African American
GBP7	1p22.2	0.37	0.80	0.56	0.90	-0.43	8.825e-6	5.091e-3	(B) White
PPCDC	15q24.2	7.93	7.54	0.56	0.58	0.40	9.077e-6	5.091e-3	(A) Black or African American
AARSD1	17q21.31	9.30	8.94	0.51	0.48	0.36	9.102e-6	5.091e-3	(A) Black or African American
TTC32	2p24.1	6.29	5.67	0.86	0.87	0.61	9.128e-6	5.091e-3	(A) Black or African American
DPH7	9q34.3	8.79	8.35	0.63	0.57	0.44	9.486e-6	5.091e-3	(A) Black or African American
GSTT2	22q11.23	7.50	6.29	1.71	1.58	1.21	9.616e-6	5.091e-3	(A) Black or African American
ZNF580	19q13.42	8.46	7.99	0.68	0.62	0.47	1.144e-5	5.902e-3	(A) Black or African American
MAPK14	6p21.31	10.40	10.67	0.38	0.41	-0.27	1.240e-5	5.948e-3	(B) White
DKFZP434A062	9q34.3	1.20	0.66	0.78	0.63	0.54	1.243e-5	5.948e-3	(A) Black or African American
POLR2J2	7q22.1	8.24	7.42	1.13	1.54	0.82	1.263e-5	5.948e-3	(A) Black or African American
DUSP28	2q37.3	6.82	6.43	0.55	0.54	0.38	1.271e-5	5.948e-3	(A) Black or African American
PI4KAP2	22q11.21	7.53	6.85	0.95	1.25	0.68	1.435e-5	6.560e-3	(A) Black or African American
CCDC24	1p34.1	8.34	7.80	0.78	0.87	0.54	1.523e-5	6.809e-3	(A) Black or African American
FBXO44	1p36.22	9.02	8.56	0.67	0.78	0.47	1.602e-5	7.006e-3	(A) Black or African American
CROCCP2	1p36.13	8.97	8.32	0.95	0.94	0.65	1.671e-5	7.153e-3	(A) Black or African American
LINC02381	12q13.13	5.33	6.26	1.35	1.52	-0.93	1.961e-5	7.979e-3	(B) White
