Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
NOTCH2NLA	1q21.1	9.86	8.98	0.75	0.72	0.88	2.34e-12	4.71e-8	(A) Black or African American
LRRC37A2	17q21.31	5.83	6.95	1.01	1.04	-1.12	3.71e-11	3.73e-7	(B) White
CRYBB2	22q11.23	2.28	1.21	1.14	1.05	1.07	4.90e-9	2.968e-5	(A) Black or African American
BEGAIN	14q32.2	2.04	3.02	0.94	1.41	-0.98	5.90e-9	2.968e-5	(B) White
GUCY1B2	13q14.3	1.23	2.78	1.65	2.57	-1.55	1.46e-7	5.370e-4	(B) White
LOC90784	2p11.2	7.18	8.02	1.06	0.62	-0.84	1.60e-7	5.370e-4	(B) White
ULK4	3p22.1	6.84	6.12	0.87	0.93	0.71	3.45e-7	9.916e-4	(A) Black or African American
LRRC37A	17q21.31	7.94	8.52	0.70	0.81	-0.58	4.04e-7	1.016e-3	(B) White
PKDREJ	22q13.31	2.76	3.62	1.10	1.01	-0.85	6.84e-7	1.529e-3	(B) White
ADGRE1	19p13.3-p13.2	4.95	3.95	1.23	1.46	0.99	7.71e-7	1.552e-3	(A) Black or African American
FLVCR1-DT	1q32.3	4.76	5.74	1.28	1.21	-0.98	9.83e-7	1.683e-3	(B) White
PPIL3	2q33.1	7.57	8.02	0.60	0.53	-0.45	1.004e-6	1.683e-3	(B) White
ARL17A	17q21.31	5.77	6.33	0.74	0.64	-0.55	1.205e-6	1.865e-3	(B) White
GTSE1-DT	22q13.31	2.97	3.81	1.16	0.83	-0.84	1.437e-6	2.065e-3	(B) White
FLT3	13q12.2	5.14	3.46	2.32	2.01	1.68	2.291e-6	3.074e-3	(A) Black or African American
GSTM3	1p13.3	9.79	8.89	1.21	1.24	0.90	2.689e-6	3.382e-3	(A) Black or African American
TUBBP5	9q34.3	5.83	4.72	1.34	2.08	1.11	3.143e-6	3.721e-3	(A) Black or African American
WDR66	12q24.31	7.46	6.50	1.10	1.96	0.95	3.743e-6	3.980e-3	(A) Black or African American
RPL23AP7	2q14.1	6.39	6.81	0.58	0.55	-0.42	3.758e-6	3.980e-3	(B) White
GTF2A1L	2p16.3	0.72	1.44	0.86	1.47	-0.72	6.370e-6	6.388e-3	(B) White
NMU	4q12	0.55	1.63	1.06	2.64	-1.08	6.666e-6	6.388e-3	(B) White
MZT2A	2q21.1	8.80	9.38	0.84	0.87	-0.58	8.851e-6	7.910e-3	(B) White
CD320	19p13.2	9.52	10.09	0.84	0.68	-0.56	9.041e-6	7.910e-3	(B) White
LOC441455	9q22.33	2.71	2.06	0.94	1.05	0.65	1.310e-5	0.0109	(A) Black or African American
TUBB8	10p15.3	3.18	2.63	0.79	0.91	0.55	1.349e-5	0.0109	(A) Black or African American
SEC1P	19q13.33	2.19	2.81	0.94	0.84	-0.62	1.442e-5	0.0111	(B) White
EDDM3A	14q11.2	1.97	1.04	1.43	1.18	0.93	1.485e-5	0.0111	(A) Black or African American
LY6K	8q24.3	2.07	2.96	1.18	1.79	-0.89	1.561e-5	0.0112	(B) White
TMX4	20p12.3	10.40	9.88	0.78	0.84	0.52	2.012e-5	0.0134	(A) Black or African American
FAM86FP	12p13.31	6.62	6.05	0.85	0.90	0.57	2.051e-5	0.0134	(A) Black or African American
UBE2U	1p31.3	0.28	0.76	0.55	1.19	-0.48	2.090e-5	0.0134	(B) White
SYT17	16p12.3	5.16	6.22	1.55	1.87	-1.07	2.169e-5	0.0134	(B) White
CIB2	15q25.1	7.96	7.25	1.03	1.31	0.71	2.322e-5	0.0134	(A) Black or African American
FAM83C	20q11.22	0.64	1.18	0.66	1.26	-0.54	2.353e-5	0.0134	(B) White
UBD	6p22.1	8.82	7.40	1.98	2.75	1.41	2.378e-5	0.0134	(A) Black or African American
SMC1B	22q13.31	0.69	1.19	0.63	1.13	-0.50	2.399e-5	0.0134	(B) White
LINC00638	14q32.33	4.53	5.09	0.85	0.93	-0.56	2.688e-5	0.0146	(B) White
PRSS45P	3p21.31	2.41	1.47	1.48	1.25	0.93	2.816e-5	0.0149	(A) Black or African American
EP400P1	12q24.33	6.07	6.60	0.84	0.73	-0.53	3.160e-5	0.0161	(B) White
ACOX2	3p14.3	8.39	7.56	1.07	1.90	0.83	3.195e-5	0.0161	(A) Black or African American
ARMC10	7q22.1	9.87	9.55	0.53	0.35	0.32	3.550e-5	0.0174	(A) Black or African American
RNF135	17q11.2	9.41	9.71	0.48	0.48	-0.31	3.708e-5	0.0178	(B) White
PCOLCE2	3q23	4.59	5.73	1.77	1.95	-1.14	4.359e-5	0.0204	(B) White
CUTALP	9q33.2	8.56	7.95	0.95	1.07	0.61	4.632e-5	0.0212	(A) Black or African American
COG4	16q22.1	10.62	10.90	0.46	0.40	-0.28	4.945e-5	0.0221	(B) White
STON2	14q31.1	8.60	9.31	1.12	1.18	-0.71	5.319e-5	0.0233	(B) White
SPATC1L	21q22.3	5.46	6.94	2.52	1.71	-1.48	5.605e-5	0.0240	(B) White
B3GLCT	13q12.3	8.38	8.04	0.57	0.51	0.35	5.989e-5	0.0251	(A) Black or African American
FOLR1	11q13.4	10.59	9.77	1.23	1.70	0.83	6.134e-5	0.0252	(A) Black or African American
LOC100133331	1p36.33	6.05	6.70	1.06	1.02	-0.65	6.390e-5	0.0257	(B) White
